time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/std,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
8192,-2.5634632110595703,12,1,656,38.06,,,,,,,,,,,
16384,-3.23455810546875,29,2,552,51.91,10,-0.14609277248382568,-0.0010436400771141052,-2.835905395634472,-0.008635725382737292,0.10367431640625,0.9970663785934448,0.2,0.0003,0.008115364,0.06796570534643251
24576,-2.4922642707824707,48,3,510,38.03,20,-0.16552889347076416,0.02637651190161705,-2.817012213729322,-0.00751687786578259,0.1000244140625,0.9833889007568359,0.2,0.0003,0.00888156,0.0786942766921129
32768,-1.6603114604949951,65,4,498,22.48,30,0.0405007004737854,0.06019553914666176,-2.7772097857668996,-0.008126224442275998,0.1150146484375,0.9653886556625366,0.2,0.0003,0.009892581,0.1537431444041431
40960,-1.5955896377563477,82,5,494,21.55,40,0.12264281511306763,0.12792152166366577,-2.7365046260878443,-0.012124261052667862,0.16590576171875,0.9444375038146973,0.2,0.0003,0.013156984,0.21569300768896937
49152,-1.417664647102356,101,6,486,17.59,50,0.2261001467704773,0.12848445773124695,-2.7048330256715416,-0.011778192594647408,0.16771240234375,0.9346122741699219,0.2,0.0003,0.014469389,0.2138736778899329
57344,-1.3119361400604248,118,7,484,15.64,60,0.23099082708358765,0.08271411061286926,-2.6710486061871053,-0.00945686153445422,0.15174560546875,0.9124538898468018,0.2,0.0003,0.012210051,0.17852760147361552
65536,-1.2454088926315308,135,8,483,14.71,70,0.3270469307899475,0.06230154260993004,-2.6181436823680997,-0.005397571538014745,0.10677490234375,0.8883548974990845,0.2,0.0003,0.009938598,0.17810145253024529
73728,-1.2764899730682373,152,9,482,14.64,80,0.13069003820419312,0.014512188732624054,-2.5773814076557757,-0.007469243466584885,0.1208251953125,0.8736745119094849,0.2,0.0003,0.009406241,0.16762432772375177
81920,-1.1039798259735107,169,10,482,14.06,90,0.1136963963508606,0.08687012642621994,-2.5051285343244674,-0.006234897851754795,0.11968994140625,0.8339857459068298,0.2,0.0003,0.012520935,0.14261942809680478
90112,-1.1520262956619263,186,11,483,13.44,100,0.19556140899658203,0.09379678964614868,-2.4306887963786723,-0.004115228974478668,0.11611328125,0.8056508302688599,0.2,0.0003,0.010694612,0.14336878456524574
