episode,return_prisoner,return_guards_mean,outcome,length
1,1.0,1.0,captured,11
2,1.0,1.0,captured,14
3,1.0,1.0,captured,10
4,1.0,1.0,captured,14
5,1.0,1.0,captured,11
6,1.0,1.0,captured,11
7,1.0,1.0,captured,13
8,1.0,1.0,captured,12
9,1.0,1.0,captured,9
10,1.0,1.0,captured,14
11,1.0,1.0,captured,10
12,-1.0,-1.0,escaped,11
13,1.0,1.0,captured,9
14,1.0,1.0,captured,15
15,-1.0,-1.0,escaped,8
16,-1.0,-1.0,escaped,9
17,1.0,1.0,captured,8
18,1.0,1.0,captured,11
19,1.0,1.0,captured,10
20,1.0,1.0,captured,11
21,1.0,1.0,captured,24
22,1.0,1.0,captured,9
23,-1.0,-1.0,escaped,12
24,1.0,1.0,captured,15
25,1.0,1.0,captured,19
26,1.0,1.0,captured,13
27,1.0,1.0,captured,10
28,1.0,1.0,captured,7
29,1.0,1.0,captured,14
30,1.0,1.0,captured,13
31,-1.0,-1.0,escaped,7
32,1.0,1.0,captured,13
33,1.0,1.0,captured,11
34,1.0,1.0,captured,13
35,1.0,1.0,captured,11
36,1.0,1.0,captured,11
37,1.0,1.0,captured,12
38,-1.0,-1.0,escaped,6
39,-1.0,-1.0,escaped,10
40,-1.0,-1.0,escaped,7
41,1.0,1.0,captured,14
42,1.0,1.0,captured,8
43,1.0,1.0,captured,14
44,1.0,1.0,captured,12
45,1.0,1.0,captured,13
46,1.0,1.0,captured,12
47,1.0,1.0,captured,14
48,1.0,1.0,captured,9
49,1.0,1.0,captured,10
50,1.0,1.0,captured,12
51,-1.0,-1.0,escaped,5
52,-1.0,-1.0,escaped,6
53,1.0,1.0,captured,8
54,1.0,1.0,captured,10
55,-1.0,-1.0,escaped,4
56,1.0,1.0,captured,17
57,1.0,1.0,captured,10
58,1.0,1.0,captured,7
59,1.0,1.0,captured,4
60,-1.0,-1.0,escaped,6
61,-1.0,-1.0,escaped,6
62,-1.0,-1.0,escaped,7
63,1.0,1.0,captured,19
64,1.0,1.0,captured,8
65,-1.0,-1.0,escaped,8
66,-1.0,-1.0,escaped,5
67,1.0,1.0,captured,14
68,1.0,1.0,captured,9
69,-1.0,-1.0,escaped,4
