time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/loss,train/clip_range,train/std,train/policy_gradient_loss,train/value_loss
6,1,16384,2488,18.76,-23.130659103393555,,,,,,,,,,,
25,2,32768,1274,20.64,-36.502349853515625,-0.0004987716674804688,0.0030708828,0.0003,10,-2.8335590169765057,0.02359619140625,338.4407958984375,0.2,0.9966106414794922,-0.0014054705688977265,765.9798964262009
44,3,49152,1114,20.64,-32.02186965942383,0.08493971824645996,0.003740353,0.0003,20,-2.830509184114635,0.01998291015625,430.9158020019531,0.2,0.9936624765396118,-0.0010680131215849542,1252.3135993659496
61,4,65536,1061,20.78,-43.05961990356445,0.0551639199256897,0.0054189106,0.0003,30,-2.8058489266783,0.03304443359375,306.4793395996094,0.2,0.9779011607170105,-0.0018679056151086116,911.7914630949497
80,5,81920,1018,19.2,-24.562152862548828,0.04154360294342041,0.0035872585,0.0003,40,-2.795261270273477,0.0240478515625,243.58999633789062,0.2,0.9744654893875122,-0.0010856180810151273,832.9511605501175
98,6,98304,1002,19.9,-31.17855453491211,0.07202428579330444,0.0036490434,0.0003,50,-2.78438690463081,0.02896728515625,366.0518493652344,0.2,0.9720261096954346,-0.0016213788809182005,850.6455937922001
115,7,114688,989,21.14,-39.283931732177734,0.06666040420532227,0.0036542895,0.0003,60,-2.78619163967669,0.030767822265625,204.8028106689453,0.2,0.9755244255065918,-0.001279311276448425,833.2475083053112
6,1,131072,2409,35.3,-40.2530632019043,0.08488589525222778,0.0044745784,0.0003,70,-2.777423357311636,0.037750244140625,350.3658142089844,0.2,0.9668095111846924,-0.002079740047338419,964.0955112695694
24,2,147456,1330,36.32,-29.841880798339844,-0.07905089855194092,0.0038762856,0.0003,80,-2.755702757742256,0.032684326171875,266.15277099609375,0.2,0.9584801197052002,-0.001584161270147888,536.6508490800858
43,3,163840,1137,34.56,-43.387516021728516,0.059668540954589844,0.0044354405,0.0003,90,-2.739735827408731,0.03642578125,245.34951782226562,0.2,0.9476707577705383,-0.002035582819371484,630.5899876713753
61,4,180224,1072,30.36,-25.404985427856445,-0.0050917863845825195,0.0038551567,0.0003,100,-2.72812214307487,0.032257080078125,236.1999053955078,0.2,0.9440633058547974,-0.0017664381557551678,597.0455797314644
78,5,196608,1038,32.3,-47.76255416870117,0.05476498603820801,0.0035431758,0.0003,110,-2.7290232281200586,0.032293701171875,128.8081817626953,0.2,0.9486575722694397,-0.001144728800318262,360.13758204877377
97,6,212992,1007,33.54,-33.41893768310547,0.05908685922622681,0.0043894025,0.0003,120,-2.712383628543466,0.039129638671875,221.54071044921875,0.2,0.9382230043411255,-0.0024205671150411947,467.0010381877422
115,7,229376,993,31.08,-34.59315490722656,0.06737440824508667,0.005556643,0.0003,130,-2.6797813734970988,0.0450927734375,143.09112548828125,0.2,0.9196136593818665,-0.002620281913004874,384.2496828734875
6,1,245760,2389,54.94,-35.958152770996094,0.07123714685440063,0.0038819923,0.0003,140,-2.6665210613049566,0.0345703125,149.92138671875,0.2,0.9206565022468567,-0.0009674349335909938,312.17536426186564
24,2,262144,1324,46.98,-22.72626304626465,0.09208798408508301,0.0053108865,0.0003,150,-2.661910774651915,0.056280517578125,163.7854461669922,0.2,0.9152661561965942,-0.002652763474088715,265.1998432740569
42,3,278528,1155,49.32,-29.861309051513672,0.14173179864883423,0.0049314694,0.0003,160,-2.6597057545557616,0.05062255859375,76.9892349243164,0.2,0.9169071912765503,-0.002117270103735791,146.78240411430596
61,4,294912,1066,42.84,-32.53874969482422,0.1713787317276001,0.0047754915,0.0003,170,-2.641716977767646,0.040545654296875,133.3594207763672,0.2,0.9052634239196777,-0.0015882459532804206,238.23701626956463
79,5,311296,1033,50.12,-29.997617721557617,0.12960636615753174,0.0041023744,0.0003,180,-2.638017633277923,0.03695068359375,134.52671813964844,0.2,0.9053710699081421,-0.0012712791988633398,274.3913913577795
97,6,327680,1004,53.68,-32.81569290161133,0.14485758543014526,0.0044464935,0.0003,190,-2.631784456502646,0.03685302734375,125.7657699584961,0.2,0.9013383984565735,-0.0008396456638365635,272.89584005028007
116,7,344064,988,50.98,-48.045223236083984,0.1407148838043213,0.0050842767,0.0003,200,-2.6219120878726243,0.054150390625,122.81429290771484,0.2,0.8961494565010071,-0.0019490224965011294,261.436570173502
