time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/approx_kl
5525,-0.6577571630477905,1,2,16.0,16384,,,,,,,,,,
2214,-0.4983721077442169,2,14,12.8,32768,0.0003,0.1539691537618637,-0.004857400627088282,10,-1.3780437276232989,0.25503477140446196,0.10054931640625,0.2,-0.001484990119934082,0.009866287
1893,-0.39576035737991333,3,25,7.52,49152,0.0003,0.16955971717834473,-0.011681766849869745,20,-1.3471307126805185,0.41556722175446337,0.150201416015625,0.2,0.11921578645706177,0.011161196
1719,-0.18169976770877838,4,38,8.4,65536,0.0003,0.23521152138710022,-0.01104528698779177,30,-1.3056213674135506,0.4802766876295209,0.136700439453125,0.2,0.16118866205215454,0.010207801
1645,-0.20134299993515015,5,49,6.88,81920,0.0003,0.17912739515304565,-0.013152917804836762,40,-1.247329506231472,0.4964293901342899,0.13271484375,0.2,0.20183879137039185,0.010215681
1591,0.043061207979917526,6,61,6.26,98304,0.0003,0.24345511198043823,-0.01132186944305431,50,-1.186028134310618,0.5231931990478188,0.114544677734375,0.2,0.2054903507232666,0.010611559
1556,0.24525314569473267,7,73,5.66,114688,0.0003,0.19980961084365845,-0.010892022880398144,60,-1.1176058300305158,0.508321511221584,0.108721923828125,0.2,0.22124773263931274,0.010388512
1530,0.2277355194091797,8,85,5.56,131072,0.0003,0.2009020447731018,-0.009636387955833926,70,-1.044258969114162,0.4809327247319743,0.095855712890625,0.2,0.26857638359069824,0.008729936
1515,0.5385177731513977,9,97,5.22,147456,0.0003,0.17162764072418213,-0.008438923053472536,80,-0.964788012416102,0.47108963964274153,0.094940185546875,0.2,0.27794408798217773,0.008730313
1509,0.8051794171333313,10,108,4.98,163840,0.0003,0.18573921918869019,-0.007663522984421434,90,-0.8928317036479712,0.44387364058056844,0.08560791015625,0.2,0.32610952854156494,0.006912385
1499,0.7631397843360901,11,120,4.84,180224,0.0003,0.23955757915973663,-0.00634338977401967,100,-0.8264032156672328,0.4184240033617243,0.076092529296875,0.2,0.3168019652366638,0.006608965
1493,0.355683296918869,12,131,5.38,196608,0.0003,0.25439438223838806,-0.004738609699688823,110,-0.7586047841468826,0.39777308310731313,0.063397216796875,0.2,0.3538229465484619,0.005230291
1487,0.794314444065094,13,143,5.02,212992,0.0003,0.18711426854133606,-0.004692275770503329,120,-0.7161816159728914,0.37925670832628383,0.06429443359375,0.2,0.3718751072883606,0.005146482
