timesteps,ep_return,ep_length
32,-1.0937896966934204,8
32,-1.129327654838562,8
44,-1.0396910905838013,3
72,-0.9998208284378052,10
76,-1.1042872667312622,8
108,-1.1434727907180786,9
124,-0.873443603515625,4
124,-1.9689431190490723,31
140,-0.978955864906311,4
160,-1.1483159065246582,5
188,-1.417739748954773,16
208,1.0440553426742554,5
232,-1.0796746015548706,6
232,-1.219902515411377,18
240,-1.0,2
248,-1.0,2
252,-1.1462244987487793,5
260,-1.0072194337844849,3
264,-0.9715807437896729,3
288,-0.9183564186096191,6
288,-3.0234899520874023,53
296,-1.0,2
324,-1.3515722751617432,9
348,-1.4501334428787231,13
360,-0.994135856628418,3
404,-3.778932809829712,101
424,-1.1291340589523315,5
436,-2.979982614517212,44
448,-1.0441397428512573,3
476,-1.7961599826812744,29
488,-1.5931396484375,16
496,1.0,2
500,-2.6680219173431396,44
508,-1.0658464431762695,15
516,-0.9368992447853088,4
524,-0.93572998046875,4
536,-1.0398485660552979,3
580,-1.2479552030563354,11
608,-1.8553333282470703,23
616,-1.0,2
632,-1.3927435874938965,13
652,-2.5201685428619385,44
652,-3.0026698112487793,39
656,-1.1646571159362793,6
660,-1.0,2
676,-1.3688600063323975,15
688,1.0249435901641846,3
696,-1.0,2
704,-1.3447868824005127,12
712,-1.3446712493896484,13
712,-1.4754853248596191,15
736,-1.005613923072815,6
740,-1.0051573514938354,7
744,-1.411073088645935,12
752,-1.0862005949020386,4
764,-1.1801531314849854,6
788,-1.580467700958252,21
788,-1.1800715923309326,9
808,-1.1301897764205933,5
820,-1.0377622842788696,3
832,-1.4606900215148926,17
836,-1.4442753791809082,12
840,-1.0,2
856,-1.1010026931762695,4
872,-0.947174608707428,13
876,-1.0594614744186401,10
884,-0.9750236868858337,3
892,-1.3199912309646606,9
892,-0.9688303470611572,4
904,-1.04283607006073,3
908,1.0806065797805786,6
916,-1.0,2
924,-1.06743323802948,5
932,-1.0,2
940,-2.7880172729492188,49
956,-1.3967089653015137,10
972,-1.1651782989501953,10
972,-1.081365942955017,4
988,-1.344268560409546,12
1000,-1.211849570274353,7
1000,-1.0477749109268188,3
1008,-1.3035627603530884,9
1012,-1.0450928211212158,3
1016,-1.025796890258789,4
1028,-0.8811488151550293,4
1032,-1.1249845027923584,6
1048,-1.0007989406585693,4
1060,-1.2500712871551514,8
1072,-1.0461353063583374,3
1076,-1.2360377311706543,15
1092,-1.5816245079040527,11
1096,-0.8905048370361328,6
1096,-1.0648163557052612,5
1112,-1.092897891998291,4
1120,-1.0382943153381348,7
1120,-1.1015434265136719,6
1148,-1.2027552127838135,7
1156,-1.3037747144699097,9
1164,-0.8688178062438965,4
1164,-1.5300533771514893,13
1176,-1.0408591032028198,5
1176,-1.0497947931289673,3
1196,-1.1188528537750244,8
1208,-0.9541957378387451,3
1240,-0.9215492606163025,8
