time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/explained_variance,train/clip_fraction,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/loss
8192,-1.1424695253372192,1,10.69,17,478,,,,,,,,,,
16384,-1.0925980806350708,2,11.25,40,401,0.01923912763595581,0.10889892578125,0.012091404,0.1304441517626401,-1.3738916201516986,0.2,-0.007586842725140741,10,0.0003,0.08548395335674286
24576,-1.0639065504074097,3,9.39,63,389,-0.04366111755371094,0.24635009765625,0.014797239,0.1802158817765303,-1.357142369169742,0.2,-0.014420942200376884,20,0.0003,0.10767940431833267
32768,-0.8167062401771545,4,5.98,84,386,0.059343695640563965,0.2574462890625,0.014117028,0.2315284966491163,-1.3062564954161644,0.2,-0.018547883218707283,30,0.0003,0.1254846155643463
40960,-0.6500638723373413,5,5.16,106,384,0.11450016498565674,0.2665771484375,0.014265591,0.2669239399023354,-1.2397295522503555,0.2,-0.022061513326480053,40,0.0003,0.09314285218715668
49152,-0.6565395593643188,6,4.89,127,384,0.1799502968788147,0.25755615234375,0.015078478,0.27279894340317695,-1.149610048159957,0.2,-0.023014126461202978,50,0.0003,0.09401467442512512
57344,-0.48993656039237976,7,4.78,148,385,0.22243785858154297,0.20882568359375,0.016915407,0.28861313926172444,-1.0299132399726658,0.2,-0.02034756742978061,60,0.0003,0.1355597972869873
65536,-0.5044646263122559,8,4.15,169,385,0.2932661771774292,0.16318359375,0.013624534,0.2870940272405278,-0.9059830104466527,0.2,-0.01640520443324931,70,0.0003,0.11526285856962204
73728,-0.5325852036476135,9,4.16,190,387,0.36115604639053345,0.118017578125,0.010711987,0.308441408642102,-0.8108508476056159,0.2,-0.012939571157767204,80,0.0003,0.15581156313419342
81920,-0.43629151582717896,10,4.1,210,388,0.39277905225753784,0.0900146484375,0.007878734,0.2975796623039059,-0.7440266282297671,0.2,-0.009871333830960793,90,0.0003,0.13472414016723633
90112,-0.4667919874191284,11,4.08,231,389,0.4325801730155945,0.09154052734375,0.0069558816,0.2902188557665795,-0.6811021242290736,0.2,-0.009290326762857149,100,0.0003,0.1447180211544037
98304,-0.3886789381504059,12,4.42,252,389,0.4683043360710144,0.06405029296875,0.005116484,0.2668722421862185,-0.6295444874092937,0.2,-0.0061562096918351015,110,0.0003,0.11202980577945709
106496,-0.5309484004974365,13,4.11,273,389,0.480674147605896,0.05419921875,0.004098721,0.27628322093514723,-0.5834469354012981,0.2,-0.004696504805906443,120,0.0003,0.12925755977630615
114688,-0.28756675124168396,14,4.02,293,390,0.5021059513092041,0.0592041015625,0.005969731,0.26291445867391305,-0.5377652940107509,0.2,-0.005425204545463203,130,0.0003,0.1360873579978943
122880,-0.3060743510723114,15,4.07,314,391,0.49246448278427124,0.05394287109375,0.0043861195,0.27323744624154644,-0.487953363917768,0.2,-0.0037555383845756297,140,0.0003,0.1377486139535904
131072,-0.37225615978240967,16,4.1,334,392,0.5183008909225464,0.05626220703125,0.005001864,0.2675518496136647,-0.4545403425348923,0.2,-0.00421489168293192,150,0.0003,0.09988349676132202
139264,-0.1965561807155609,17,3.78,354,392,0.5223262310028076,0.05426025390625,0.0038340956,0.27000064147869124,-0.4218792343745008,0.2,-0.002895163881839835,160,0.0003,0.08730583637952805
147456,-0.3956395983695984,18,4.12,374,393,0.5619699954986572,0.0512939453125,0.004698652,0.23766369558288716,-0.3942557632457465,0.2,-0.0025013968621351522,170,0.0003,0.14579690992832184
155648,-0.29394567012786865,19,4.12,395,393,0.540066123008728,0.05938720703125,0.0045885467,0.26755964230396784,-0.3639020018861629,0.2,-0.003851710656817886,180,0.0003,0.15166109800338745
163840,-0.4463966488838196,20,4.16,415,394,0.5168042182922363,0.05067138671875,0.0048910594,0.2735605264897458,-0.3479969210573472,0.2,-0.0028583240244188348,190,0.0003,0.13807274401187897
172032,-0.261581152677536,21,4.14,436,394,0.5043017864227295,0.0609130859375,0.0047568358,0.28304200768470766,-0.3250493972096592,0.2,-0.003991648990631802,200,0.0003,0.10908617079257965
180224,-0.19919374585151672,22,4.18,457,394,0.5462164282798767,0.05618896484375,0.0036245175,0.26867325767525474,-0.2931998213403858,0.2,-0.0026288387100066755,210,0.0003,0.1355249285697937
188416,-0.38964545726776123,23,4.46,477,394,0.5218754410743713,0.054443359375,0.004164464,0.28821655447827654,-0.2795634849229828,0.2,-0.00291004289756529,220,0.0003,0.09502582252025604
196608,-0.17445863783359528,24,4.41,497,394,0.5100062489509583,0.04686279296875,0.0038049011,0.2879664173233323,-0.26378029892221094,0.2,-0.0021737445349572226,230,0.0003,0.1496778428554535
204800,-0.2433546632528305,25,4.62,517,395,0.5150238275527954,0.04764404296875,0.0042742956,0.2955729803186841,-0.23573982268571853,0.2,-0.0018242037636809981,240,0.0003,0.15413980185985565
