time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/clip_range,train/n_updates,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/std,train/learning_rate,train/explained_variance,train/clip_fraction,train/value_loss
8192,-4.089594841003418,432,91.77011494252874,1,18,,,,,,,,,,,
16384,-4.103332996368408,377,95.45,2,43,0.2,10,-2.804186777770519,0.011165256,-0.01006312295794487,-0.011977371200919152,0.9765819311141968,0.0003,-0.025410056114196777,0.12646484375,0.03359460825085989
24576,-3.888254404067993,366,96.73,3,67,0.2,20,-2.783032197877765,0.0055707158,0.005673607811331749,-0.00485947344568558,0.9710938334465027,0.0003,0.37716197967529297,0.0642822265625,0.04303691193053964
32768,-3.8709826469421387,359,100.08,4,91,0.2,30,-2.779274687729776,0.008460871,0.011163937859237194,-0.008311599674561876,0.9691299200057983,0.0003,0.7233167886734009,0.10235595703125,0.042019210383296014
40960,-3.824835777282715,353,100.37,5,115,0.2,40,-2.742616531997919,0.009967394,0.002568489871919155,-0.007200028051738627,0.9466385245323181,0.0003,0.8169127106666565,0.1070068359375,0.03840144868590869
49152,-3.7798538208007812,350,100.41,6,140,0.2,50,-2.6848770935088395,0.010680234,0.025124534964561462,-0.0092506928864168,0.9189252257347107,0.0003,0.9126485586166382,0.12987060546875,0.026105949535849503
57344,-3.580820083618164,348,100.94,7,164,0.2,60,-2.6418500462546946,0.009182609,0.0019721873104572296,-0.0073110170382278735,0.901276707649231,0.0003,0.9515311121940613,0.10806884765625,0.017215173020304064
65536,-3.6222546100616455,348,100.67,8,188,0.2,70,-2.586813373491168,0.009275427,-0.020532339811325073,-0.006498438125345274,0.8754115104675293,0.0003,0.9471602439880371,0.10509033203125,0.01909811865007214
73728,-3.6131863594055176,346,100.6,9,212,0.2,80,-2.519609259068966,0.0087626185,-0.0002085687592625618,-0.006244626000261632,0.8458320498466492,0.0003,0.9644989967346191,0.09727783203125,0.013683164192480035
81920,-3.5447463989257812,345,101.0,10,236,0.2,90,-2.470007950440049,0.0075731142,0.01138588972389698,-0.004538695940937032,0.8254008293151855,0.0003,0.9574993252754211,0.0848876953125,0.016121872999792685
90112,-3.4601285457611084,345,99.22,11,261,0.2,100,-2.4197410393506287,0.007534708,0.006376237608492374,-0.0025480626038188346,0.8063769340515137,0.0003,0.9442527890205383,0.07608642578125,0.019969084886906786
98304,-3.524451971054077,344,99.78,12,285,0.2,110,-2.372024976462126,0.0076104905,0.007857554592192173,-0.003554018233990064,0.7860032320022583,0.0003,0.9559811353683472,0.07559814453125,0.017189094416244187
106496,-3.546536445617676,344,100.0,13,309,0.2,120,-2.3298541232943535,0.0060648415,0.004804887808859348,-0.0023580602122819983,0.7721470594406128,0.0003,0.9531571865081787,0.07222900390625,0.019666784502987866
114688,-3.5225532054901123,344,100.94,14,333,0.2,130,-2.280662490054965,0.009340597,0.008693568408489227,-0.0038331667419697624,0.7491083145141602,0.0003,0.9566569328308105,0.09132080078125,0.01688373876058904
122880,-3.612168312072754,343,100.18,15,357,0.2,140,-2.2404443390667437,0.0067081684,0.0040927063673734665,-0.00372246711885964,0.7390506267547607,0.0003,0.9544186592102051,0.083642578125,0.013801492284619599
131072,-3.65238094329834,343,100.79,16,381,0.2,150,-2.204093224927783,0.0063110804,-0.009975004941225052,-0.002379222541640047,0.7244126796722412,0.0003,0.9593219757080078,0.06646728515625,0.01421912281166442
139264,-3.559340476989746,342,100.13,17,406,0.2,160,-2.183791203983128,0.005281526,0.030975807458162308,-0.0014831229877017905,0.7213315963745117,0.0003,0.9533407688140869,0.06358642578125,0.016930180288181874
147456,-3.566970109939575,342,100.59,18,430,0.2,170,-2.1510595850646497,0.007947566,-0.004250787664204836,-0.0023775719928380568,0.7056484818458557,0.0003,0.9479360580444336,0.07755126953125,0.019144670147943542
155648,-3.5969133377075195,342,100.95,19,453,0.2,180,-2.1208635473623874,0.006283068,-0.012330325320363045,-0.002184244764430332,0.6958014965057373,0.0003,0.950232982635498,0.06644287109375,0.017784723837212368
163840,-3.6243791580200195,342,100.63,20,478,0.2,190,-2.1130119662731888,0.006795059,0.008513914421200752,-0.001534333411109401,0.6960306763648987,0.0003,0.938052237033844,0.06771240234375,0.02179787738932646
172032,-3.6321091651916504,342,100.74,21,502,0.2,200,-2.0835829451680183,0.0059805606,0.007768688723444939,-0.0012172887923952657,0.681186318397522,0.0003,0.9476101398468018,0.05089111328125,0.023334427029112703
180224,-3.5029711723327637,341,99.6,22,527,0.2,210,-2.033814397454262,0.007295522,0.0035465452820062637,-0.00212919238692848,0.6643753051757812,0.0003,0.9586712121963501,0.06334228515625,0.018477953675028403
188416,-3.502582311630249,341,100.45,23,551,0.2,220,-1.9910926405340432,0.0069566523,0.01785733550786972,-0.0013052704525762238,0.6519917249679565,0.0003,0.9268538355827332,0.069189453125,0.030046226911144912
196608,-3.5988287925720215,341,101.0,24,575,0.2,230,-1.9585470990277827,0.006093218,-0.009961675852537155,-0.00045184409100329503,0.6408690214157104,0.0003,0.9506393671035767,0.05640869140625,0.019466761096191477
204800,-3.554392099380493,341,100.41,25,599,0.2,240,-1.9309407960623504,0.0059564356,-0.0005081119015812874,-0.0014192043334332993,0.6335077285766602,0.0003,0.9454135298728943,0.06707763671875,0.02173183508893999
