timesteps,ep_return,ep_length
72,-1.8355860710144043,18
204,-2.374744415283203,51
280,-1.7416625022888184,19
332,-3.080897808074951,83
400,-1.5029699802398682,17
404,-2.1431853771209717,101
424,-2.719588279724121,88
684,-2.8183741569519043,101
804,-4.540406703948975,101
808,-2.9976296424865723,101
828,-2.9154162406921387,101
1040,-4.9468231201171875,89
1136,-4.268904685974121,82
1208,-3.894409418106079,101
1232,-2.8927783966064453,101
1296,-1.691971778869629,22
1444,-2.7820792198181152,101
1536,-2.8694262504577637,100
1596,-4.102227210998535,91
1700,-3.279712200164795,101
1848,-4.069683074951172,101
1940,-3.5088937282562256,101
1972,-2.1732120513916016,31
1996,-4.125077247619629,100
2104,-3.2843892574310303,101
2124,-2.6167681217193604,38
2256,-3.764928102493286,79
2348,-4.191732406616211,88
2480,-3.2791643142700195,89
2508,-3.8771331310272217,101
2560,-1.3554174900054932,13
2580,-3.3602406978607178,58
2660,-3.221353530883789,101
2668,-2.2350857257843018,27
2768,-1.8632786273956299,47
2776,-2.011363983154297,27
2824,-4.513443946838379,86
2904,-1.8104779720306396,20
2952,-3.1462268829345703,73
2984,-1.8264062404632568,20
3116,-2.219390869140625,41
3172,-2.168635845184326,101
3180,-3.5426392555236816,101
3240,-1.1472201347351074,17
3288,-2.5194318294525146,27
3364,-1.3446924686431885,19
3388,-3.8222270011901855,101
3520,-3.2591934204101562,101
3644,-4.048104286193848,101
3712,-1.73142409324646,17
3768,-2.966629981994629,101
3792,-2.6773719787597656,101
3924,-3.5148987770080566,101
4116,-2.904059410095215,101
4120,-3.8462445735931396,82
4172,-3.3629400730133057,101
4176,-1.4911580085754395,14
4284,-1.9599018096923828,42
4328,-3.814188241958618,101
4424,-3.2161221504211426,62
4576,-2.909451484680176,101
4596,-3.944403886795044,67
4676,-1.616459846496582,25
4688,-3.9271068572998047,101
4828,-2.888606548309326,101
4860,-2.3589673042297363,43
4928,-3.134308099746704,63
4956,-4.284246444702148,90
4996,-2.690067768096924,34
5068,-2.6063780784606934,28
5232,-3.2975428104400635,101
5260,-2.8780291080474854,48
5332,-3.1964969635009766,101
5344,-1.6511149406433105,28
5400,-3.402705669403076,101
5444,-1.8844976425170898,28
5664,-3.482221841812134,101
5748,-3.7085111141204834,101
5804,-3.8112738132476807,101
5848,-3.0290801525115967,101
5948,-2.4170455932617188,36
6068,-3.1766133308410645,101
6152,-3.2482051849365234,101
6248,-1.236366868019104,24
6252,-2.270451068878174,101
6352,-2.5677313804626465,101
6456,-3.3881964683532715,51
6472,-2.875176191329956,101
6472,-2.024815559387207,56
6556,-2.039930582046509,21
6756,-3.195146322250366,101
6860,-3.326575756072998,101
6864,-3.9301981925964355,77
6876,-3.429438352584839,101
6952,-1.8740582466125488,19
7160,-2.5489962100982666,101
7264,-3.5428881645202637,101
7268,-2.180218458175659,101
7284,-4.163176536560059,83
7348,-1.5090821981430054,20
7564,-2.8701670169830322,101
7564,-3.277435302734375,75
7688,-3.2679457664489746,101
7752,-2.453601121902466,101
7968,-4.284887313842773,101
7968,-3.688708782196045,101
8076,-1.5110514163970947,27
8092,-3.4906036853790283,101
8124,-2.780763864517212,39
8128,-1.1335560083389282,13
8148,-1.1072931289672852,6
8156,-3.2079031467437744,101
8176,-1.297215461730957,12
8208,-1.4514141082763672,15
8496,-1.8657721281051636,101
8560,-3.751455068588257,101
8580,-3.369218111038208,101
8612,-3.918902635574341,101
8788,-2.7586262226104736,52
8900,-2.2666003704071045,101
8964,-3.2001237869262695,101
9016,-2.1894688606262207,101
9096,-2.7019054889678955,49
9192,-2.193665027618408,101
9248,-3.2304108142852783,58
9368,-2.47511625289917,101
9404,-1.86435866355896,53
9500,-2.739920139312744,101
9532,-3.904670000076294,71
9772,-3.4344425201416016,101
9808,-3.6611244678497314,101
9868,-4.893765449523926,92
9936,-3.125798463821411,101
10044,-2.7573821544647217,68
10056,-2.45491361618042,47
10184,-2.8469576835632324,62
10212,-2.892091751098633,101
10448,-3.056035280227661,101
10460,-2.858957290649414,101
10556,-2.0966339111328125,27
10588,-3.352200984954834,101
10616,-2.544321298599243,101
10864,-3.020777940750122,101
10960,-4.325521469116211,101
10992,-2.5954065322875977,101
11020,-2.153688907623291,101
11268,-4.060812950134277,101
11316,-0.5034488439559937,81
11336,-2.8250794410705566,79
11364,-2.58442759513855,101
11396,-1.1035879850387573,15
11552,-2.441309928894043,47
11584,-3.0114004611968994,47
11624,-4.221661567687988,77
11672,-2.0579352378845215,101
11784,-2.619405746459961,50
11956,-3.393036127090454,101
12028,-2.4756968021392822,101
12068,-3.6867806911468506,71
12076,-2.6421682834625244,101
12276,-0.639295220375061,50
12360,-3.7972395420074463,101
12432,-2.6924595832824707,101
12472,-2.766096830368042,101
12648,-2.392605781555176,44
12680,-3.0750396251678467,101
12756,-2.360057830810547,81
12764,-4.666601181030273,101
13024,-2.554976224899292,67
13052,-3.135070323944092,101
13084,-3.016294479370117,101
13168,-3.6136720180511475,101
13268,-1.8184758424758911,25
13428,-2.485013008117676,101
13456,-3.3190009593963623,101
13488,-2.2307534217834473,101
13616,-2.86238431930542,40
13672,-3.439331531524658,101
13832,-3.0060808658599854,101
13844,-3.1322383880615234,57
13892,-2.2366209030151367,101
14076,-3.8531532287597656,101
14236,-4.246328830718994,101
14248,-2.8276796340942383,101
14296,-4.1382527351379395,101
14440,-2.6458678245544434,36
14480,-2.6013121604919434,101
14640,-3.343918800354004,101
14648,-2.9092531204223633,52
14652,-2.496605634689331,101
14768,-1.9178493022918701,30
14784,-2.392338752746582,36
14852,-4.266595363616943,93
14852,-1.838989019393921,21
14928,-2.6740498542785645,36
15056,-2.384133815765381,101
15120,-2.8186721801757812,67
15256,-3.293271541595459,101
15316,0.28193795680999756,49
15332,-2.5099756717681885,101
15444,-2.2130727767944336,47
15460,-3.6011199951171875,101
15720,-2.5992748737335205,101
15736,-3.100616693496704,101
15768,-3.253204584121704,81
15796,-3.2760121822357178,84
16056,-3.3234212398529053,72
16100,-4.479598045349121,95
16128,-1.8120312690734863,18
16140,-3.4112467765808105,101
16200,-3.111868143081665,101
16276,-2.8414533138275146,44
16416,-3.1863832473754883,54
16532,-2.513012647628784,101
16544,-2.0348286628723145,101
16652,-3.5941011905670166,59
16676,0.734012246131897,33
16680,-2.3213353157043457,101
16720,-1.3051687479019165,11
16936,-2.592271089553833,101
17056,-2.3600287437438965,101
17084,-2.595217704772949,101
17124,-2.6806671619415283,101
17340,-2.3067469596862793,101
17460,-2.714275598526001,101
17488,-2.6444408893585205,101
17528,-2.1358959674835205,101
17744,-3.223815441131592,101
17864,-1.8255305290222168,101
17892,-2.7107839584350586,101
17932,-3.690335273742676,101
18124,-2.180767297744751,48
18148,-2.7331860065460205,101
18240,-2.8336610794067383,87
18268,-3.636659622192383,101
18528,-2.8242766857147217,101
18552,-3.0794894695281982,101
18612,-1.3503942489624023,21
18644,-2.490480899810791,101
18672,-2.5286881923675537,101
18956,-2.7769291400909424,101
19016,-2.132638692855835,101
19048,-3.9471261501312256,101
19076,-2.802318811416626,101
19204,-3.7408931255340576,62
19420,-3.1992580890655518,101
19452,-2.643120765686035,101
19480,-2.6949877738952637,101
19572,-2.0307421684265137,30
19608,-3.429386854171753,101
19696,-3.524731159210205,69
19880,-3.2044131755828857,68
19884,-2.174879312515259,101
19976,-2.702758550643921,101
20000,-0.9530584812164307,6
20100,-2.3976335525512695,101
20284,-2.934337854385376,101
20288,-3.354558229446411,101
20404,-3.655578851699829,101
20504,-2.401750326156616,101
20688,-2.612685441970825,101
20692,-2.7161688804626465,101
20808,-2.8807060718536377,101
20908,-2.6033096313476562,101
21092,-2.3286266326904297,101
21096,-4.499944686889648,101
21212,-2.978121519088745,101
21268,-1.656005859375,90
21496,-2.123199701309204,101
21500,-3.4993162155151367,101
21572,-3.307931900024414,76
21616,-2.1753687858581543,101
21884,-3.1175873279571533,96
21900,-3.489885091781616,101
21976,-3.341038465499878,101
22020,-1.9182814359664917,101
22288,-2.916517972946167,101
22304,-3.0565714836120605,101
22380,-2.7932870388031006,101
22424,-2.2122464179992676,101
22692,-1.6135841608047485,101
22708,-1.8289334774017334,101
22784,-3.99776291847229,101
22828,-3.3650851249694824,101
23096,-2.313278913497925,101
23112,-1.7217811346054077,101
23188,-3.384849786758423,101
23232,-2.512209177017212,101
23500,-2.3269870281219482,101
23516,-3.7358391284942627,101
23592,-3.6214358806610107,101
23636,-2.7602591514587402,101
23904,-2.1322193145751953,101
23920,-2.5156610012054443,101
23996,-2.572782516479492,101
24040,-2.3696255683898926,101
24204,-0.2258702516555786,52
24308,-2.8267250061035156,101
24324,-2.479266881942749,101
24444,-2.5976617336273193,101
24528,-2.4415745735168457,51
24608,-2.4885804653167725,101
24632,-1.5012550354003906,26
24712,-2.023761749267578,101
24848,-2.507748603820801,101
24860,-1.7844085693359375,37
25012,-1.864168405532837,101
25036,-2.7985050678253174,101
25252,-2.417297601699829,101
25264,-3.0393950939178467,101
25272,-3.1453914642333984,65
25440,-2.684144973754883,101
25656,-2.7135887145996094,101
25668,-1.9060490131378174,101
25676,-2.237419605255127,101
25840,-2.907174587249756,46
25844,-2.844832420349121,101
26072,-3.0903117656707764,101
26080,-3.2686798572540283,101
26244,-3.3152196407318115,101
26248,-1.9199354648590088,101
26476,-2.1846299171447754,101
26484,-3.0733494758605957,101
26500,-2.8765151500701904,63
26648,-2.1855812072753906,101
26880,-2.4320788383483887,101
26888,-2.250007152557373,101
26904,-2.4688963890075684,101
27052,-4.080688953399658,101
27244,-2.877781391143799,48
27284,-2.625368118286133,101
27292,-2.344618797302246,101
27308,-2.232154607772827,101
27648,-2.805418014526367,101
27688,-2.5831480026245117,101
27696,-2.184797525405884,101
27712,-2.360565423965454,101
27884,-2.4592037200927734,49
28052,-2.243149995803833,101
28100,-2.247056722640991,101
28116,-2.402139186859131,101
28288,-2.6548514366149902,101
28356,1.049653172492981,17
28456,-2.365666389465332,101
28504,-2.6894712448120117,101
28520,-2.7936909198760986,101
28760,-1.8202013969421387,101
28784,-4.20375919342041,82
28908,-3.881953477859497,101
28924,-2.6796059608459473,101
29164,-3.7957189083099365,101
29188,-3.3100879192352295,101
29312,-4.0872883796691895,101
29328,-3.8332931995391846,101
29568,-3.2909162044525146,101
29592,-3.25041127204895,101
29716,-2.2256228923797607,101
29732,-2.205155611038208,101
29972,-4.073128700256348,101
29996,-3.3638882637023926,101
30120,-3.3587660789489746,101
30136,-2.118739604949951,101
30376,-2.5170207023620605,101
30400,-3.238070011138916,101
30444,-3.685088634490967,81
30540,-2.2207658290863037,101
30780,-2.2180354595184326,101
30804,-2.113034963607788,101
30848,-3.005157709121704,101
30944,-2.048126459121704,101
31004,-1.1868383884429932,15
31184,-2.702300548553467,101
31208,-2.117492914199829,101
31252,-1.8695664405822754,101
31408,-2.2284810543060303,101
31588,-2.94455623626709,101
31612,-2.5270581245422363,101
31656,-2.3422622680664062,101
31812,-2.074228048324585,101
31992,-2.803987741470337,101
32016,-2.1154634952545166,101
32060,-3.3725697994232178,101
32216,-2.886186122894287,101
32256,-1.3067238330841064,10
32396,-2.0382635593414307,101
32420,-2.3912312984466553,101
32464,-2.5647897720336914,101
32660,-2.9871156215667725,101
32800,-2.049020767211914,101
32824,-2.3335838317871094,101
32868,-2.048931121826172,101
33064,-2.497107982635498,101
33152,-3.696410894393921,71
33204,-3.3407764434814453,101
33228,-2.413699150085449,101
33384,-2.8827719688415527,58
33468,-2.0532126426696777,101
33608,-2.2014291286468506,101
33632,-3.935807466506958,101
33788,-2.635899782180786,101
33872,-2.9917640686035156,101
34012,-1.675735354423523,101
34036,-2.6097402572631836,101
34180,-3.2394726276397705,77
34192,-2.1257307529449463,101
34416,-1.7607524394989014,101
34440,-1.6498479843139648,101
34584,-2.39668607711792,101
34596,-1.7855455875396729,101
34820,-2.825101613998413,101
34844,-2.5095133781433105,101
34988,-2.68369197845459,101
35000,-2.241178035736084,101
35224,-2.331242084503174,101
35248,-2.319807529449463,101
35392,-2.3849189281463623,101
35404,-2.2523298263549805,101
35524,-3.2610549926757812,69
35628,-2.1585564613342285,101
35796,-2.2636008262634277,101
35808,-3.043628692626953,101
35928,-2.16963529586792,101
35988,-1.3119748830795288,15
36032,-2.4527580738067627,101
36088,0.541770875453949,14
36200,-2.0800867080688477,101
36212,-2.734837293624878,101
36392,-2.0852138996124268,101
36492,-3.5094146728515625,101
36604,-2.3524599075317383,101
36616,-2.4894919395446777,101
36648,-1.2017114162445068,8
36652,-1.0355615615844727,12
36796,-2.5076162815093994,101
36896,-3.4362809658050537,101
37052,-2.057748317718506,101
37056,-2.178753137588501,101
37200,-2.005246162414551,101
37296,-3.841280698776245,100
37456,-2.218108892440796,101
37460,-2.1800856590270996,101
37568,-2.23808217048645,27
37580,-1.9833967685699463,31
37604,-2.19451642036438,101
37700,-1.9031494855880737,101
37972,-3.404015302658081,101
37984,-1.9629483222961426,101
38008,-2.38083815574646,101
38104,-1.7821043729782104,101
38112,-1.7360877990722656,26
38376,-3.5161006450653076,101
38388,-2.3238301277160645,101
38508,-1.936338186264038,101
38516,-2.3842244148254395,101
38780,-2.242286443710327,101
38792,-1.888144612312317,101
38912,-4.056711673736572,101
38920,-2.239339828491211,101
39184,-3.942596197128296,101
39196,-2.4043240547180176,101
39316,-1.524613618850708,101
39324,-2.2728586196899414,101
39368,-1.4528162479400635,13
39588,-2.6146252155303955,101
39600,-2.006150007247925,101
39728,-3.476567506790161,101
39772,-2.3100831508636475,101
39824,-3.0158495903015137,59
40004,-2.039879322052002,101
40132,-1.7170372009277344,101
40176,-3.5373847484588623,101
40228,-1.661739468574524,101
40252,-1.785976767539978,19
40292,-2.7884509563446045,40
40408,-2.5456414222717285,101
40448,-2.201071262359619,49
40632,-2.081312656402588,101
40696,-2.19966983795166,101
40812,-2.3427791595458984,101
40852,-2.1260530948638916,101
41036,-2.2773945331573486,101
41100,-1.8056584596633911,101
41216,-2.0760838985443115,101
41256,-2.206573963165283,101
41440,-2.2528228759765625,101
41504,-2.011284828186035,101
41620,-1.9861254692077637,101
41660,-2.579702377319336,101
41844,-1.941097378730774,101
41908,-2.328549861907959,101
42024,-2.8436663150787354,101
42064,-3.279142379760742,101
42248,-3.669959545135498,101
42312,-1.7275487184524536,101
42428,-2.1062071323394775,101
42468,-1.894593596458435,101
42652,-2.5854809284210205,101
42716,-1.9595928192138672,101
42832,-1.9491169452667236,101
42872,-3.5938844680786133,101
43056,-2.6052494049072266,101
43120,-1.9387102127075195,101
43236,-1.8733168840408325,101
43276,-2.090069532394409,101
43460,-1.6913846731185913,101
43524,-2.458857297897339,101
43640,-2.0285253524780273,101
43680,-2.0236759185791016,101
43864,-1.9563820362091064,101
43928,-2.010051727294922,101
44044,-1.72559654712677,101
44084,-1.9744877815246582,101
44268,-2.5226848125457764,101
44332,-2.245856761932373,101
44448,-2.0230319499969482,101
44488,-1.691792607307434,101
44672,-1.8388513326644897,101
44736,-2.3050920963287354,101
44852,-2.609586238861084,101
44892,-1.8683733940124512,101
45076,-2.0294830799102783,101
45140,-1.9699593782424927,101
45256,-2.3345863819122314,101
45296,-1.8032138347625732,101
45480,-3.101914882659912,101
45544,-2.1153228282928467,101
45660,-1.8888880014419556,101
45700,-2.5955567359924316,101
45884,-1.8635368347167969,101
45944,-3.5109665393829346,71
45948,-2.079601287841797,101
46104,-1.9538674354553223,101
46288,-1.9971652030944824,101
46348,-2.4140846729278564,101
46352,-1.8469507694244385,101
46508,-2.0665652751922607,101
46692,-3.1435821056365967,101
46752,-1.7353311777114868,101
46756,-1.870772123336792,101
46912,-1.8781944513320923,101
47052,-2.0266220569610596,35
47096,-1.8246350288391113,101
47156,-1.641638159751892,101
47160,-1.9747464656829834,101
47456,-1.9118317365646362,101
47500,-3.158167839050293,101
47560,-1.811212420463562,101
47564,-2.460649013519287,101
47680,-1.444123387336731,29
47860,-1.64621102809906,101
47904,-2.063270330429077,101
47964,-1.9282782077789307,101
47976,-2.947697639465332,74
48044,-1.8922851085662842,35
48116,-2.7996644973754883,64
48368,-1.9491835832595825,101
48380,-2.0088064670562744,101
48448,-2.3125081062316895,101
48520,-1.8689703941345215,101
48644,-2.4041337966918945,49
48772,-2.3883631229400635,101
48784,-2.035165786743164,101
48924,-2.09232497215271,101
49048,-3.140498399734497,101
49176,-3.002005100250244,101
49188,-2.9898295402526855,101
49328,-1.925727128982544,101
49452,-1.8888871669769287,101
49572,-1.623490333557129,30
49580,-1.9045088291168213,101
49592,-2.1896164417266846,101
49732,-2.977644920349121,101
49736,-2.6024327278137207,39
49976,-1.8031530380249023,101
49996,-2.061882495880127,101
50136,-2.960228443145752,101
50140,-1.7302279472351074,101
50380,-1.8573895692825317,101
