rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/std,train/approx_kl,train/clip_fraction,train/loss,train/explained_variance
-2.8732025623321533,19,71.91,8192,427,1,,,,,,,,,,,
-2.840141534805298,43,80.55,16384,377,2,10,-2.8523433435708285,-0.007453875161081669,0.0003,0.04841730392217869,0.2,1.0113297700881958,0.0074192155,0.0854736328125,-0.002426290884613991,0.15199154615402222
-2.7043960094451904,66,90.84,24576,367,3,20,-2.8465367425233126,-0.010465273961017374,0.0003,0.0644246594136348,0.2,1.001890778541565,0.008935434,0.1193115234375,0.02474295347929001,0.5155520439147949
-2.584379196166992,90,93.28,32768,361,4,30,-2.8155516708269714,-0.00756856532607344,0.0003,0.07001464786735596,0.2,0.9845304489135742,0.007596203,0.08643798828125,0.010097537189722061,0.501314103603363
-2.3778698444366455,114,89.8,40960,358,5,40,-2.777506292052567,-0.005754448652442079,0.0003,0.07571178991929628,0.2,0.964860200881958,0.007771711,0.085205078125,0.0030532237142324448,0.5393259525299072
-2.2232227325439453,137,95.13,49152,356,6,50,-2.751338078454137,-0.005905448595513008,0.0003,0.06683383113268064,0.2,0.9567535519599915,0.007287126,0.08017578125,0.0017975270748138428,0.6065749526023865
-2.2414114475250244,161,93.85,57344,354,7,60,-2.7333255406469106,-0.003932746506325202,0.0003,0.05852869095833739,0.2,0.9462876319885254,0.0056601837,0.05509033203125,0.04735036566853523,0.5859078168869019
-2.1343331336975098,185,95.31,65536,353,8,70,-2.707846743427217,-0.004382374048509519,0.0003,0.0551589940325357,0.2,0.9322628974914551,0.006655344,0.07564697265625,0.04575639218091965,0.5770571827888489
-2.0762293338775635,208,91.59,73728,353,9,80,-2.671494227834046,-0.002674912252405193,0.0003,0.04837487023178255,0.2,0.9151413440704346,0.005494682,0.05604248046875,0.023668117821216583,0.587611734867096
-2.146332263946533,232,93.07,81920,352,10,90,-2.625208757631481,-0.0022582967718335566,0.0003,0.051570987213926854,0.2,0.8937340378761292,0.0054094195,0.04918212890625,0.032559219747781754,0.6109319925308228
-2.105443239212036,256,93.65,90112,351,11,100,-2.594031924195588,-0.002712211296966416,0.0003,0.047662311187013987,0.2,0.8818796873092651,0.0057201656,0.0570068359375,0.012040771543979645,0.663690447807312
-2.1156585216522217,279,92.29,98304,351,12,110,-2.5624499194324017,-0.0007036391070869286,0.0003,0.04432679757810547,0.2,0.8665292263031006,0.004725901,0.0391357421875,0.010838503949344158,0.6937389969825745
-1.9332841634750366,303,93.87,106496,350,13,120,-2.5460097152739762,-0.0010040771558124106,0.0003,0.04231122879791656,0.2,0.8656578063964844,0.0042683906,0.04144287109375,0.025777865201234818,0.6712309718132019
-2.068432331085205,326,92.97,114688,351,14,130,-2.5356088731437922,-0.0011360167103703135,0.0003,0.039812895983777706,0.2,0.8588240146636963,0.0038224002,0.0401123046875,0.01862191967666149,0.6440818905830383
-2.035537004470825,350,91.95,122880,350,15,140,-2.5218389738351106,-0.0016356589614588302,0.0003,0.04598932793087442,0.2,0.8516626358032227,0.0050931815,0.04527587890625,0.019652778282761574,0.6405618786811829
