rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/approx_kl,train/loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss
34.6,-1.7026232481002808,18,447,8192,1,,,,,,,,,,,
36.07,-1.768811821937561,41,390,16384,2,0.0070646005,0.024046149104833603,1.0020558834075928,0.0833740234375,-0.007234648723897408,0.0003,0.2,10,-0.35279929637908936,-2.8394073164090514,0.09166059916606173
30.11,-1.6667962074279785,64,379,24576,3,0.0072450507,0.07017736881971359,0.9708081483840942,0.0605224609375,-0.004305015982390614,0.0003,0.2,20,0.2032201886177063,-2.798697469569743,0.10607360132562463
29.92,-1.615044116973877,88,371,32768,4,0.006608661,0.08466970175504684,0.9664658308029175,0.0669677734375,-0.004326654699980281,0.0003,0.2,30,0.1960391402244568,-2.7680641340091823,0.1265041014441522
27.15,-1.5848430395126343,111,366,40960,5,0.007846179,0.0416933074593544,0.9414763450622559,0.079736328125,-0.004980073130718665,0.0003,0.2,40,0.21758395433425903,-2.7333592725917697,0.13301939583616332
22.73,-1.4982109069824219,135,363,49152,6,0.0087310765,0.11444701254367828,0.9156609177589417,0.084130859375,-0.005801994078865391,0.0003,0.2,50,0.20930898189544678,-2.6770764660090207,0.15059081874787808
19.62,-1.3795645236968994,158,362,57344,7,0.008870229,0.03141253441572189,0.8943066596984863,0.10281982421875,-0.0072071513586706715,0.0003,0.2,60,0.22713333368301392,-2.6274440700188277,0.1416517032921547
14.49,-1.0549564361572266,180,362,65536,8,0.010553774,0.06779693067073822,0.8645418882369995,0.11549072265625,-0.006856959239303251,0.0003,0.2,70,0.20564770698547363,-2.5658862818032504,0.1387671743548708
14.88,-1.1990584135055542,204,361,73728,9,0.011736967,0.09447449445724487,0.8360402584075928,0.11466064453125,-0.00660465526743792,0.0003,0.2,80,0.2491549849510193,-2.5006674291566013,0.15318161115574186
13.67,-1.1126428842544556,227,360,81920,10,0.010198001,0.05082801729440689,0.8116253614425659,0.1064697265625,-0.007304442513122922,0.0003,0.2,90,0.248504638671875,-2.438018305040896,0.13731952027592342
13.06,-1.0738660097122192,249,361,90112,11,0.008693578,0.07935883104801178,0.7943422794342041,0.09232177734375,-0.004785529834043701,0.0003,0.2,100,0.2771655321121216,-2.385507184267044,0.1442138465703465
11.71,-0.9926559329032898,272,361,98304,12,0.0069156326,0.07284199446439743,0.7763663530349731,0.063623046875,-0.0021218042380496626,0.0003,0.2,110,0.2567141056060791,-2.345131647773087,0.18098040621262043
11.91,-1.0756745338439941,294,361,106496,13,0.007054272,0.09577547013759613,0.757436990737915,0.07789306640625,-0.003204417331653531,0.0003,0.2,120,0.29365164041519165,-2.299049816094339,0.14950949753110762
11.12,-0.9407212734222412,317,360,114688,14,0.008629427,0.08687634766101837,0.7364120483398438,0.086767578125,-0.0034454098724381764,0.0003,0.2,130,0.29502564668655396,-2.242903999798,0.1611992297199322
11.78,-1.0847644805908203,340,361,122880,15,0.0072482675,0.07883965224027634,0.715075671672821,0.07071533203125,-0.002510918460029643,0.0003,0.2,140,0.2888519763946533,-2.185790274851024,0.15839849241019693
