time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/value_loss,train/learning_rate,train/loss,train/std,train/policy_gradient_loss,train/explained_variance
2731,1,5,16384,-4.177190780639648,98.08,,,,,,,,,,,
1503,2,21,32768,-4.31662654876709,100.38,-2.837504529301077,0.2,0.0621337890625,10,0.0060841357,0.041467979040317,0.0003,0.01361183449625969,1.0004585981369019,-0.004164614251021703,0.0042359232902526855
1312,3,37,49152,-4.311621189117432,99.84,-2.8369869844056668,0.2,0.0320556640625,20,0.004377499,0.06757053541077766,0.0003,0.027492184191942215,0.9981303811073303,-0.0020687290653768286,0.36714106798171997
1229,4,53,65536,-4.146333694458008,97.26,-2.811408505216241,0.2,0.0338134765625,30,0.0040022926,0.08479692920300294,0.0003,0.03484306484460831,0.9832828044891357,-0.0018668982132112432,0.5103009939193726
1175,5,69,81920,-4.037757873535156,98.84,-2.785979600343853,0.2,0.035113525390625,40,0.004029126,0.09023971081624041,0.0003,0.050951384007930756,0.9695183634757996,-0.0018178408206040331,0.5879974365234375
1153,6,85,98304,-4.44133186340332,99.92,-2.7261315433308484,0.2,0.04951171875,50,0.0057649296,0.11442267378151882,0.0003,0.04139697924256325,0.9400632381439209,-0.002424530064035935,0.6416093707084656
1138,7,100,114688,-4.404848575592041,101.0,-2.690245248004794,0.2,0.0357421875,60,0.0043967506,0.13289627836929868,0.0003,0.07867000252008438,0.9256300926208496,-0.0015102888914043434,0.6203396320343018
1125,8,116,131072,-4.252605438232422,97.96,-2.660607073735446,0.2,0.04888916015625,70,0.0056295968,0.15023294118436753,0.0003,0.05314501374959946,0.9119086265563965,-0.0018657851075658983,0.6428701877593994
1111,9,132,147456,-4.262874603271484,101.0,-2.6439088408835234,0.2,0.037408447265625,80,0.0036288775,0.11842773406751803,0.0003,0.03296314924955368,0.9070319533348083,-0.0012578504168686776,0.6824520826339722
1098,10,149,163840,-4.113615036010742,100.06,-2.6166307710111143,0.2,0.045672607421875,90,0.0051328344,0.11679254523915006,0.0003,0.09752408415079117,0.8919819593429565,-0.0021463331157065115,0.7091527581214905
1091,11,165,180224,-4.162824630737305,98.88,-2.591010673623532,0.2,0.04462890625,100,0.004488875,0.0972624091533362,0.0003,0.040975891053676605,0.8807879686355591,-0.002080657864553359,0.7259601950645447
1088,12,180,196608,-4.316381454467773,97.78,-2.5728184110485017,0.2,0.048541259765625,110,0.005054396,0.1447719309537206,0.0003,0.05610448122024536,0.8759083151817322,-0.002188803985109189,0.6461173892021179
1084,13,196,212992,-4.340923309326172,100.1,-2.5534490384161472,0.2,0.045758056640625,120,0.005061928,0.12222665334629709,0.0003,0.0537073016166687,0.8655087947845459,-0.0024429993735793688,0.7252501249313354
