time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/approx_kl,train/value_loss,train/clip_range,train/std,train/clip_fraction,train/n_updates
8192,95.70238095238095,637,1,12,-4.079836368560791,,,,,,,,,,,
16384,94.33,531,2,30,-4.012618541717529,-0.006577744749120029,0.015583839267492294,-2.815944490581751,0.0003,-0.12833130359649658,0.007805101,0.0743672909142333,0.2,0.9854516983032227,0.09390869140625,10
24576,98.01,488,3,50,-3.9987847805023193,-0.005894623167296231,0.007984854280948639,-2.7796818513423203,0.0003,0.23621422052383423,0.007599484,0.07123681899101938,0.2,0.966498613357544,0.075439453125,20
32768,97.72,479,4,68,-3.9284558296203613,-0.006069791109439393,0.02299731969833374,-2.7459236390888693,0.0003,0.5895715355873108,0.0077431393,0.07209292615298182,0.2,0.9501587152481079,0.0929443359375,30
40960,94.77,470,5,87,-3.8319125175476074,-0.005696817146144895,0.0165451318025589,-2.6969397284090517,0.0003,0.8062520027160645,0.008084199,0.04674112419743324,0.2,0.9254209995269775,0.0799072265625,40
49152,99.91,466,6,105,-3.904367685317993,-0.006581083530909382,0.0051215775310993195,-2.666734088398516,0.0003,0.8231849074363708,0.007047299,0.05540981849553646,0.2,0.914539098739624,0.09344482421875,50
57344,98.43,465,7,123,-3.597733497619629,-0.00630951038110652,0.04536344110965729,-2.6491505719721316,0.0003,0.8944705724716187,0.0076794177,0.03863297439966118,0.2,0.9094537496566772,0.0976806640625,60
65536,99.76,461,8,141,-3.6142778396606445,-0.006369540886407776,-0.026195481419563293,-2.6380042342469094,0.0003,0.935996413230896,0.0075128353,0.020331250453091344,0.2,0.902596652507782,0.0906005859375,70
73728,100.95,461,9,159,-3.598879814147949,-0.005311129311667173,0.02084362506866455,-2.612154817767441,0.0003,0.9535348415374756,0.0075536473,0.0152079095125373,0.2,0.8884447813034058,0.08515625,80
81920,100.89,462,10,177,-3.5123250484466553,-0.005190713997399144,-0.0221317820250988,-2.565423223935068,0.0003,0.9577310681343079,0.0073272986,0.015250925946747883,0.2,0.8666407465934753,0.08184814453125,90
90112,99.01,460,11,195,-3.387200355529785,-0.004169696302778902,0.045367900282144547,-2.522525413706899,0.0003,0.9598095417022705,0.0069426573,0.0136782472669438,0.2,0.8501709699630737,0.07308349609375,100
98304,100.61,460,12,213,-3.444692611694336,-0.004309163998550502,0.010035100392997265,-2.476739099808037,0.0003,0.9196805357933044,0.008183498,0.02739657511956466,0.2,0.8286199569702148,0.0862548828125,110
106496,101.0,458,13,232,-3.4964160919189453,-0.004879894139594399,-0.0121915303170681,-2.437631474994123,0.0003,0.9715109467506409,0.008194327,0.009626931926868565,0.2,0.8153413534164429,0.092626953125,120
114688,100.56,457,14,250,-3.3715667724609375,-0.0026750610468297964,-0.00534776458516717,-2.4061695331707598,0.0003,0.9793779850006104,0.007046918,0.00798367276584031,0.2,0.8040327429771423,0.0739501953125,130
122880,100.56,457,15,268,-3.430129289627075,-0.0033378262736732723,0.004981740843504667,-2.372796639986336,0.0003,0.9630781412124634,0.0071719647,0.013886961466596404,0.2,0.789315938949585,0.0845458984375,140
131072,100.6,456,16,287,-3.4526000022888184,-0.0034610193200933282,-0.020383182913064957,-2.3445595409721136,0.0003,0.9813162088394165,0.007213534,0.007805173057386127,0.2,0.7806587219238281,0.07996826171875,150
139264,101.0,456,17,305,-3.3838841915130615,-0.00238229265805785,-0.011200028471648693,-2.3162206199020146,0.0003,0.9701699018478394,0.007085881,0.012529725668173342,0.2,0.7672227621078491,0.06956787109375,160
147456,100.84,456,18,322,-3.3572278022766113,-0.002699212237894244,0.014635032042860985,-2.2637876188382506,0.0003,0.9818346500396729,0.0074406243,0.006881246037301026,0.2,0.7443971633911133,0.0763427734375,170
155648,101.0,455,19,341,-3.3564932346343994,-0.0009108189873586525,0.0035719566512852907,-2.238312581554055,0.0003,0.9773167371749878,0.005438019,0.009099589811194164,0.2,0.7398850321769714,0.0565185546875,180
163840,101.0,454,20,360,-3.403611183166504,-0.0020304098014094054,0.01530100591480732,-2.211517233401537,0.0003,0.9815638661384583,0.0072640637,0.007628440000917181,0.2,0.727882981300354,0.07381591796875,190
172032,100.94,454,21,378,-3.3574445247650146,-0.0022751270824301175,-0.0016867294907569885,-2.1898344667628407,0.0003,0.9834707975387573,0.007512063,0.006989304705348332,0.2,0.7210437655448914,0.075537109375,200
180224,101.0,453,22,397,-3.3130266666412354,-0.0022809869826232896,0.014086920768022537,-2.179443797469139,0.0003,0.983444094657898,0.006686196,0.00628622349604484,0.2,0.7186304330825806,0.06285400390625,210
188416,101.0,453,23,415,-3.3192636966705322,-0.00311893440930362,0.012405941262841225,-2.1499537978321315,0.0003,0.9804014563560486,0.007927749,0.007801584690969321,0.2,0.7034651041030884,0.08406982421875,220
196608,101.0,452,24,434,-3.3766062259674072,-0.0012098683469957904,-0.007269358728080988,-2.1064628098160028,0.0003,0.9811241626739502,0.0062568225,0.007075403994804219,0.2,0.6909557580947876,0.068017578125,230
204800,100.07,452,25,452,-3.2921411991119385,-0.0012737765344354556,-0.00602326076477766,-2.093559001386166,0.0003,0.9829065799713135,0.006891125,0.007167102809944481,0.2,0.6888730525970459,0.06607666015625,240
