timesteps,ep_return,ep_length
3208,-19.948991775512695,401
3208,-19.948991775512695,401
3208,-20.53920555114746,401
3208,-20.53920555114746,401
3208,-21.025503158569336,401
3208,-21.025503158569336,401
3208,-19.92913246154785,401
3208,-19.92913246154785,401
3496,-2.5395259857177734,36
3496,-2.5395259857177734,36
3848,-4.667657852172852,80
3848,-4.667657852172852,80
6416,-21.48023796081543,401
6416,-21.48023796081543,401
6416,-20.7335147857666,401
6416,-20.7335147857666,401
6704,-19.45298957824707,401
6704,-19.45298957824707,401
7056,-21.71013641357422,401
7056,-21.71013641357422,401
7512,-3.888185977935791,101
7512,-3.888185977935791,101
9624,-18.757457733154297,401
9624,-18.757457733154297,401
9624,-22.153581619262695,401
9624,-22.153581619262695,401
10264,-20.681774139404297,401
10264,-20.681774139404297,401
10720,-18.61002540588379,401
10720,-18.61002540588379,401
12832,-19.883705139160156,401
12832,-19.883705139160156,401
12832,-21.096025466918945,401
12832,-21.096025466918945,401
13472,-21.486371994018555,401
13472,-21.486371994018555,401
13928,-21.737810134887695,401
13928,-21.737810134887695,401
16040,-18.611351013183594,401
16040,-18.611351013183594,401
16040,-19.26987648010254,401
16040,-19.26987648010254,401
16680,-19.67310333251953,401
16680,-19.67310333251953,401
17136,-20.627166748046875,401
17136,-20.627166748046875,401
19248,-18.443342208862305,401
19248,-18.443342208862305,401
19248,-20.414888381958008,401
19248,-20.414888381958008,401
19888,-22.029895782470703,401
19888,-22.029895782470703,401
20344,-19.30191421508789,401
20344,-19.30191421508789,401
22264,-13.477492332458496,240
22264,-13.477492332458496,240
22456,-21.778535842895508,401
22456,-21.778535842895508,401
22456,-19.904848098754883,401
22456,-19.904848098754883,401
23096,-21.033205032348633,401
23096,-21.033205032348633,401
25472,-17.67955207824707,401
25472,-17.67955207824707,401
25664,-21.940597534179688,401
25664,-21.940597534179688,401
25664,-20.515987396240234,401
25664,-20.515987396240234,401
25792,0.11824572086334229,40
25792,0.11824572086334229,40
26304,-21.69816780090332,401
26304,-21.69816780090332,401
28872,-19.27867317199707,401
28872,-19.27867317199707,401
28872,-20.65530014038086,401
28872,-20.65530014038086,401
29000,-20.26323699951172,401
29000,-20.26323699951172,401
29416,-3.133047580718994,52
29416,-3.133047580718994,52
29512,-19.58207130432129,401
29512,-19.58207130432129,401
32080,-19.587549209594727,401
32080,-19.587549209594727,401
32080,-21.057979583740234,401
32080,-21.057979583740234,401
32624,-19.47499656677246,401
32624,-19.47499656677246,401
32720,-19.540451049804688,401
32720,-19.540451049804688,401
35288,-20.490571975708008,401
35288,-20.490571975708008,401
35288,-20.598125457763672,401
35288,-20.598125457763672,401
35832,-18.439565658569336,401
35832,-18.439565658569336,401
35928,-16.336383819580078,401
35928,-16.336383819580078,401
38496,-20.120901107788086,401
38496,-20.120901107788086,401
38496,-20.224231719970703,401
38496,-20.224231719970703,401
39040,-19.38898468017578,401
39040,-19.38898468017578,401
39136,-20.871570587158203,401
39136,-20.871570587158203,401
39544,-4.297891139984131,63
39544,-4.297891139984131,63
40096,-11.581320762634277,200
40096,-11.581320762634277,200
41704,-19.1307430267334,401
41704,-19.1307430267334,401
42344,-19.43779182434082,401
42344,-19.43779182434082,401
42536,0.6274731159210205,24
42536,0.6274731159210205,24
42752,-19.776220321655273,401
42752,-19.776220321655273,401
43304,-21.04460906982422,401
43304,-21.04460906982422,401
44912,-21.237085342407227,401
44912,-21.237085342407227,401
45744,-23.001434326171875,401
45744,-23.001434326171875,401
45960,-20.322420120239258,401
45960,-20.322420120239258,401
46512,-20.60130500793457,401
46512,-20.60130500793457,401
48120,-19.423093795776367,401
48120,-19.423093795776367,401
48952,-19.1270694732666,401
48952,-19.1270694732666,401
49168,-21.134674072265625,401
49168,-21.134674072265625,401
49720,-21.586795806884766,401
49720,-21.586795806884766,401
51328,-20.281904220581055,401
51328,-20.281904220581055,401
52160,-20.523212432861328,401
52160,-20.523212432861328,401
52376,-19.431560516357422,401
52376,-19.431560516357422,401
52928,-22.03795051574707,401
52928,-22.03795051574707,401
54536,-22.08005714416504,401
54536,-22.08005714416504,401
55216,-21.242267608642578,382
55216,-21.242267608642578,382
55584,-18.644784927368164,401
55584,-18.644784927368164,401
56136,-20.5079402923584,401
56136,-20.5079402923584,401
57744,-21.61302375793457,401
57744,-21.61302375793457,401
58424,-20.631080627441406,401
58424,-20.631080627441406,401
58792,-18.978540420532227,401
58792,-18.978540420532227,401
59344,-20.273115158081055,401
59344,-20.273115158081055,401
59584,-6.640655040740967,145
59584,-6.640655040740967,145
60952,-22.62220573425293,401
60952,-22.62220573425293,401
62000,-17.72456169128418,401
62000,-17.72456169128418,401
62552,-21.284162521362305,401
62552,-21.284162521362305,401
62792,-20.26791763305664,401
62792,-20.26791763305664,401
64160,-19.06423568725586,401
64160,-19.06423568725586,401
65208,-20.01740837097168,401
65208,-20.01740837097168,401
65760,-20.937801361083984,401
65760,-20.937801361083984,401
65848,-11.330606460571289,211
65848,-11.330606460571289,211
66000,-19.615703582763672,401
66000,-19.615703582763672,401
68416,-20.491138458251953,401
68416,-20.491138458251953,401
