timesteps,ep_return,ep_length
280,-3.7377681732177734,70
336,-4.699373245239258,84
1604,-20.48297691345215,401
1604,-17.0528564453125,401
1884,-16.266616821289062,401
1940,-19.033777236938477,401
2300,-4.485032081604004,90
2392,-6.304143905639648,127
2404,-9.451163291931152,200
2404,-1.9978224039077759,26
2732,-4.79396915435791,85
3208,-18.417083740234375,401
4008,-20.052061080932617,401
4008,-18.566068649291992,401
4336,-19.781980514526367,401
4396,-1.5421154499053955,15
4812,-19.086410522460938,401
5240,-5.400367736816406,107
5612,-21.2083683013916,401
5612,-20.751670837402344,401
6000,-16.797086715698242,401
6124,-5.9933247566223145,128
6264,-0.36953413486480713,35
6844,-17.830326080322266,401
7216,-16.711389541625977,401
7300,-2.5957014560699463,114
7428,-15.52847671508789,291
7472,-3.1487388610839844,43
7604,-19.418004989624023,401
8520,-12.910820007324219,273
8820,-19.070409774780273,401
9076,-12.107563018798828,401
9208,-17.971050262451172,401
10124,-16.803024291992188,401
10424,-16.61131477355957,401
10428,-4.408583164215088,76
10680,-19.01267433166504,401
10812,-19.22684097290039,401
11740,-13.422449111938477,265
11968,-3.2635741233825684,57
12028,-18.073408126831055,401
12032,-17.20130729675293,401
12416,-18.34709358215332,401
12496,-6.089034080505371,117
13572,-16.225341796875,401
13636,-20.071035385131836,401
13832,-17.127405166625977,354
14100,-17.975231170654297,401
15176,-14.885347366333008,401
15192,-1.0710498094558716,4
15240,-18.925355911254883,401
15436,-19.411409378051758,401
15572,-4.125322341918945,83
15704,-17.018346786499023,401
16796,-19.591272354125977,401
17040,-16.711992263793945,401
17084,-1.3828628063201904,11
17176,-16.154417037963867,401
17308,-15.899652481079102,401
17348,-1.3341541290283203,10
17848,-6.3690667152404785,125
18400,-18.826011657714844,401
18688,-20.05284309387207,401
18780,-17.527156829833984,401
19160,-6.740653991699219,118
19228,-1.6681737899780273,17
19452,-13.761886596679688,401
19620,-2.9884982109069824,42
20004,-17.36103630065918,401
20384,-19.080455780029297,401
20832,-18.58745002746582,401
21224,-17.39443016052246,401
21608,-16.101205825805664,401
21988,-18.163599014282227,401
22160,-2.911820650100708,43
22436,-16.795482635498047,401
22828,-13.96725845336914,401
23212,-17.617124557495117,401
23764,-18.01893424987793,401
24008,-14.155838966369629,295
24040,-18.46401023864746,401
24112,-1.6789052486419678,18
24816,-15.252954483032227,401
24912,-1.858716607093811,24
25368,-17.049652099609375,401
25612,-15.273652076721191,401
25716,-15.513407707214355,401
26516,-13.982566833496094,401
26804,-3.9045209884643555,72
26972,-10.23984432220459,401
27216,-17.92173957824707,401
27300,-4.750955581665039,82
27320,-14.600366592407227,401
27416,-6.686319828033447,153
28008,-6.417008399963379,172
28820,-15.389426231384277,401
28904,-13.447613716125488,401
29020,-12.654369354248047,401
29612,-11.708292007446289,401
29824,-6.775731086730957,201
30232,-14.87025260925293,353
30508,-10.31335163116455,401
31216,-18.03504180908203,401
31380,-2.7303497791290283,41
31428,-17.025211334228516,401
31548,-2.241265296936035,30
31836,-14.658910751342773,401
31916,-4.476413726806641,92
32112,-11.80268669128418,401
32984,-14.666625022888184,401
33440,-18.852554321289062,401
33520,-11.846527099609375,401
33716,-10.957839965820312,401
33752,-1.3087897300720215,9
34588,-14.471512794494629,401
35044,-13.422736167907715,401
35124,-11.8342924118042,401
35200,-1.7819048166275024,19
35356,-13.507269859313965,401
36192,-9.625467300415039,401
36328,-2.5692131519317627,34
36648,-12.940447807312012,401
36804,-16.299230575561523,401
36960,-14.133700370788574,401
37168,-3.0046048164367676,52
37208,-4.39664363861084,101
37364,-2.527139186859131,39
37388,-3.4275119304656982,55
37932,-14.061279296875,401
38252,-17.565444946289062,401
