timesteps,ep_return,ep_length
3208,-16.72812271118164,401
3208,-16.72812271118164,401
3208,-17.941743850708008,401
3208,-17.941743850708008,401
3208,-17.56429100036621,401
3208,-17.56429100036621,401
3208,-16.20966148376465,401
3208,-16.20966148376465,401
3496,-2.2369446754455566,36
3496,-2.2369446754455566,36
3656,-2.7868666648864746,56
3656,-2.7868666648864746,56
3736,-2.909038543701172,66
3736,-2.909038543701172,66
5744,-15.344703674316406,317
5744,-15.344703674316406,317
6704,-14.514269828796387,401
6704,-14.514269828796387,401
6864,-17.289894104003906,401
6864,-17.289894104003906,401
6944,-15.52065372467041,401
6944,-15.52065372467041,401
8952,-18.82209587097168,401
8952,-18.82209587097168,401
9912,-17.418100357055664,401
9912,-17.418100357055664,401
10072,-16.518211364746094,401
10072,-16.518211364746094,401
10152,-17.492061614990234,401
10152,-17.492061614990234,401
12160,-15.99051570892334,401
12160,-15.99051570892334,401
13120,-17.534652709960938,401
13120,-17.534652709960938,401
13280,-17.845062255859375,401
13280,-17.845062255859375,401
13360,-18.3496150970459,401
13360,-18.3496150970459,401
15368,-14.707405090332031,401
15368,-14.707405090332031,401
16328,-17.204084396362305,401
16328,-17.204084396362305,401
16488,-16.433631896972656,401
16488,-16.433631896972656,401
16568,-17.331676483154297,401
16568,-17.331676483154297,401
18576,-15.134844779968262,401
18576,-15.134844779968262,401
19536,-17.726736068725586,401
19536,-17.726736068725586,401
19696,-18.39736557006836,401
19696,-18.39736557006836,401
19776,-16.254060745239258,401
19776,-16.254060745239258,401
21784,-18.3287296295166,401
21784,-18.3287296295166,401
22744,-17.043542861938477,401
22744,-17.043542861938477,401
22904,-17.520421981811523,401
22904,-17.520421981811523,401
22984,-18.923847198486328,401
22984,-18.923847198486328,401
23568,-5.665907382965088,103
23568,-5.665907382965088,103
23800,-2.8642098903656006,102
23800,-2.8642098903656006,102
24992,-14.907631874084473,401
24992,-14.907631874084473,401
25440,-2.864549160003662,56
25440,-2.864549160003662,56
26112,-17.04401397705078,401
26112,-17.04401397705078,401
26776,-18.165626525878906,401
26776,-18.165626525878906,401
27008,-15.954463958740234,401
27008,-15.954463958740234,401
28648,-16.621723175048828,401
28648,-16.621723175048828,401
29320,-16.390371322631836,401
29320,-16.390371322631836,401
29984,-16.96230125427246,401
29984,-16.96230125427246,401
30216,-14.997732162475586,401
30216,-14.997732162475586,401
31856,-17.03547477722168,401
31856,-17.03547477722168,401
32528,-16.666059494018555,401
32528,-16.666059494018555,401
33192,-16.184843063354492,401
33192,-16.184843063354492,401
33424,-15.110990524291992,401
33424,-15.110990524291992,401
35064,-16.983814239501953,401
35064,-16.983814239501953,401
35736,-15.916597366333008,401
35736,-15.916597366333008,401
36400,-12.917391777038574,401
36400,-12.917391777038574,401
36632,-17.80732536315918,401
36632,-17.80732536315918,401
38272,-16.09060287475586,401
38272,-16.09060287475586,401
38944,-17.699052810668945,401
38944,-17.699052810668945,401
39608,-17.930278778076172,401
39608,-17.930278778076172,401
39840,-17.194868087768555,401
39840,-17.194868087768555,401
40712,-11.422150611877441,221
40712,-11.422150611877441,221
41480,-14.795066833496094,401
41480,-14.795066833496094,401
42816,-15.975794792175293,401
42816,-15.975794792175293,401
43048,-16.161212921142578,401
43048,-16.161212921142578,401
43112,-9.70761489868164,204
43112,-9.70761489868164,204
43920,-17.936880111694336,401
43920,-17.936880111694336,401
46024,-15.356921195983887,401
46024,-15.356921195983887,401
46256,-18.85101890563965,401
46256,-18.85101890563965,401
46320,-17.753847122192383,401
46320,-17.753847122192383,401
47128,-17.251953125,401
47128,-17.251953125,401
49232,-14.70949649810791,401
49232,-14.70949649810791,401
49464,-15.9780912399292,401
49464,-15.9780912399292,401
49528,-17.792831420898438,401
49528,-17.792831420898438,401
50336,-18.06270980834961,401
50336,-18.06270980834961,401
52440,-17.830738067626953,401
52440,-17.830738067626953,401
52672,-17.044790267944336,401
52672,-17.044790267944336,401
52736,-15.874507904052734,401
52736,-15.874507904052734,401
53544,-18.48643684387207,401
53544,-18.48643684387207,401
55648,-17.8321590423584,401
55648,-17.8321590423584,401
55880,-17.255252838134766,401
55880,-17.255252838134766,401
55944,-15.505274772644043,401
55944,-15.505274772644043,401
56752,-16.978904724121094,401
56752,-16.978904724121094,401
58856,-17.67152214050293,401
58856,-17.67152214050293,401
59088,-17.169540405273438,401
59088,-17.169540405273438,401
59152,-15.728798866271973,401
59152,-15.728798866271973,401
59960,-16.610763549804688,401
59960,-16.610763549804688,401
60040,-7.681941986083984,148
60040,-7.681941986083984,148
62296,-18.273509979248047,401
62296,-18.273509979248047,401
62360,-16.47494888305664,401
62360,-16.47494888305664,401
63168,-17.524503707885742,401
63168,-17.524503707885742,401
63248,-16.642988204956055,401
63248,-16.642988204956055,401
65504,-16.09004020690918,401
65504,-16.09004020690918,401
65568,-16.491662979125977,401
65568,-16.491662979125977,401
66376,-17.783349990844727,401
66376,-17.783349990844727,401
66456,-16.27153205871582,401
66456,-16.27153205871582,401
66912,-8.468976974487305,168
66912,-8.468976974487305,168
68712,-15.556087493896484,401
68712,-15.556087493896484,401
69584,-16.754493713378906,401
69584,-16.754493713378906,401
69664,-18.660436630249023,401
69664,-18.660436630249023,401
70120,-19.11481285095215,401
70120,-19.11481285095215,401
70728,-3.060883045196533,76
70728,-3.060883045196533,76
71576,-9.441719055175781,239
71576,-9.441719055175781,239
71920,-18.087862014770508,401
71920,-18.087862014770508,401
72792,-16.793601989746094,401
72792,-16.793601989746094,401
73320,-3.3846402168273926,66
73320,-3.3846402168273926,66
73936,-17.326223373413086,401
73936,-17.326223373413086,401
74376,-0.4301004409790039,55
74376,-0.4301004409790039,55
74672,-2.388824224472046,37
74672,-2.388824224472046,37
74784,-16.401172637939453,401
74784,-16.401172637939453,401
75128,-15.508002281188965,401
75128,-15.508002281188965,401
76528,-15.549023628234863,401
76528,-15.549023628234863,401
77880,-16.33957862854004,401
77880,-16.33957862854004,401
77992,-15.896385192871094,401
77992,-15.896385192871094,401
78336,-17.16302490234375,401
78336,-17.16302490234375,401
79736,-16.890247344970703,401
79736,-16.890247344970703,401
80208,-2.584566593170166,59
80208,-2.584566593170166,59
81088,-16.445749282836914,401
81088,-16.445749282836914,401
81200,-18.365951538085938,401
