timesteps,ep_return,ep_length
1604,-9.095876693725586,401
1604,-9.971846580505371,401
1604,-14.154565811157227,401
1604,-9.727694511413574,401
3208,-13.893085479736328,401
3208,-8.6456880569458,401
3208,-7.193300247192383,401
3208,-10.425708770751953,401
3684,-3.319715976715088,119
4812,-9.098321914672852,401
4812,-7.17570161819458,401
4812,-9.341907501220703,401
5288,-8.517498016357422,401
6416,-8.937899589538574,401
6416,-6.232306480407715,401
6416,-7.632992267608643,401
6720,-3.984031915664673,76
6892,-17.902996063232422,401
8020,-15.870279312133789,401
8020,-7.395686149597168,401
8324,-8.37277603149414,401
8460,-0.8129719495773315,110
8496,-7.296361446380615,401
9624,-11.509851455688477,401
9928,-7.435804843902588,401
10064,-15.85733413696289,401
10100,-8.154135704040527,401
11228,-11.083033561706543,401
11532,-10.6972074508667,401
11668,-2.2082533836364746,34
11668,-7.5849127769470215,401
11704,-10.396254539489746,401
12832,-9.211380004882812,401
13272,-14.549994468688965,401
13272,-9.501879692077637,401
13308,-8.116583824157715,401
14436,-11.731560707092285,401
14876,-7.0358147621154785,401
14876,-8.981281280517578,401
14912,-6.810753345489502,401
15888,-5.827204704284668,363
16480,-8.288755416870117,401
16480,-7.470315456390381,401
16516,-8.457221984863281,401
16920,-4.411323547363281,110
17492,-9.722733497619629,401
17788,-2.1125214099884033,217
18084,-6.296998023986816,401
18120,-7.661927700042725,401
19096,-7.694859981536865,401
19392,-12.578197479248047,401
19680,-3.37603497505188,72
19688,-9.607178688049316,401
19724,-6.7204461097717285,401
20168,-1.9973726272583008,122
20700,-8.112534523010254,401
21292,-6.994594573974609,401
21328,-5.636472225189209,401
21772,-13.340923309326172,401
22136,-3.5697193145751953,202
22304,-6.96879243850708,401
22896,-7.287723064422607,401
23376,-12.542941093444824,401
23740,-7.4156694412231445,401
23760,-1.663327932357788,96
23908,-7.800084590911865,401
24500,-7.060705661773682,401
24904,-4.01692533493042,291
25364,-6.196743965148926,401
25512,-8.267793655395508,401
26104,-4.623023986816406,401
26508,-4.294946670532227,401
26968,-7.126779556274414,401
27116,-7.0598859786987305,401
27708,-5.279653549194336,401
27848,-2.0797624588012695,35
28112,-5.013102054595947,401
28572,-6.1026763916015625,401
28720,-7.792585372924805,401
29452,-6.373140335083008,401
29716,-6.502457618713379,401
30176,-7.8466010093688965,401
30324,-4.631349086761475,401
31056,-7.37335205078125,401
31320,-4.552366733551025,401
31780,-11.906612396240234,401
31928,-15.166237831115723,401
32660,-7.970491409301758,401
