timesteps,ep_return,ep_length
201,0.04016149044036865,201
402,-0.2436700165271759,201
603,-0.35161739587783813,201
804,-0.3069888949394226,201
1005,-0.2485674023628235,201
1206,-0.0019148346036672592,201
1407,-0.4680890440940857,201
1608,-0.32373857498168945,201
1809,-0.26072466373443604,201
2010,-0.25168803334236145,201
2211,-0.41621845960617065,201
2412,-2.6121697425842285,201
2613,1.8123688697814941,201
2814,0.596246063709259,201
3015,0.703593373298645,201
3216,0.16031119227409363,201
3417,0.04099853336811066,201
3618,-0.17804443836212158,201
3819,-0.12985678017139435,201
4020,-0.055419355630874634,201
4221,0.017278753221035004,201
4422,1.9299163818359375,201
4623,0.25600072741508484,201
4824,-1.25291109085083,201
5025,0.10419272631406784,201
5226,-2.955673933029175,201
5427,0.6650446653366089,201
5459,1.7924567461013794,32
5660,-0.9073212146759033,201
5861,-0.16050389409065247,201
6062,-0.18865546584129333,201
