timesteps,ep_return,ep_length
2168,-1.2063710689544678,271
2168,-1.2063710689544678,271
2712,-0.331648588180542,68
2712,-0.331648588180542,68
3120,-0.17559963464736938,51
3120,-0.17559963464736938,51
3208,-3.0672287940979004,401
3208,-3.0672287940979004,401
3208,-3.583968162536621,401
3208,-3.583968162536621,401
3208,-3.609377384185791,401
3208,-3.609377384185791,401
3496,-1.067675232887268,36
3496,-1.067675232887268,36
6328,-2.750821590423584,401
6328,-2.750821590423584,401
6416,-3.3654632568359375,401
6416,-3.3654632568359375,401
6416,-3.3581180572509766,401
6416,-3.3581180572509766,401
6704,-3.962841033935547,401
6704,-3.962841033935547,401
6888,1.4517451524734497,59
6888,1.4517451524734497,59
9536,-3.6313672065734863,401
9536,-3.6313672065734863,401
9624,-2.0294394493103027,401
9624,-2.0294394493103027,401
9912,-2.8855462074279785,401
9912,-2.8855462074279785,401
10096,-3.530390501022339,401
10096,-3.530390501022339,401
12744,-4.427432537078857,401
12744,-4.427432537078857,401
12832,-3.930656909942627,401
12832,-3.930656909942627,401
13120,-4.167104721069336,401
13120,-4.167104721069336,401
13304,-3.3081822395324707,401
13304,-3.3081822395324707,401
15952,-3.207930564880371,401
15952,-3.207930564880371,401
16040,-3.441577911376953,401
16040,-3.441577911376953,401
16328,-3.2776284217834473,401
16328,-3.2776284217834473,401
16512,-3.3325462341308594,401
16512,-3.3325462341308594,401
19160,-3.669732093811035,401
19160,-3.669732093811035,401
19248,-3.3597168922424316,401
19248,-3.3597168922424316,401
19536,-3.6313931941986084,401
19536,-3.6313931941986084,401
19720,-3.2380356788635254,401
19720,-3.2380356788635254,401
22368,-2.949093818664551,401
22368,-2.949093818664551,401
22456,-4.385265350341797,401
22456,-4.385265350341797,401
22744,-2.1202239990234375,401
22744,-2.1202239990234375,401
22920,-0.6135613918304443,69
22920,-0.6135613918304443,69
22928,-2.4805121421813965,401
22928,-2.4805121421813965,401
23056,1.6253713369369507,39
23056,1.6253713369369507,39
25664,-3.272634506225586,401
25664,-3.272634506225586,401
26128,-3.401632785797119,401
26128,-3.401632785797119,401
26136,-3.298550844192505,401
26136,-3.298550844192505,401
26264,-3.208153247833252,401
26264,-3.208153247833252,401
28872,-3.5167202949523926,401
28872,-3.5167202949523926,401
29336,-2.827596664428711,401
29336,-2.827596664428711,401
29344,-3.222923755645752,401
29344,-3.222923755645752,401
29472,-3.5224146842956543,401
29472,-3.5224146842956543,401
31400,-1.6244279146194458,316
31400,-1.6244279146194458,316
32544,-3.5630900859832764,401
32544,-3.5630900859832764,401
32552,-2.7731730937957764,401
32552,-2.7731730937957764,401
32680,-3.295614004135132,401
32680,-3.295614004135132,401
33416,-0.41038018465042114,92
33416,-0.41038018465042114,92
34608,-3.3121771812438965,401
34608,-3.3121771812438965,401
35752,-3.8239829540252686,401
35752,-3.8239829540252686,401
35760,-3.190117359161377,401
35760,-3.190117359161377,401
36016,2.070615291595459,32
36016,2.070615291595459,32
36624,-3.448474407196045,401
36624,-3.448474407196045,401
37816,-2.768610715866089,401
37816,-2.768610715866089,401
38960,-3.412475347518921,401
38960,-3.412475347518921,401
39224,-3.1595113277435303,401
39224,-3.1595113277435303,401
39832,-3.6660265922546387,401
39832,-3.6660265922546387,401
41024,-2.685077667236328,401
41024,-2.685077667236328,401
42168,-3.661501407623291,401
42168,-3.661501407623291,401
42184,-1.9725730419158936,294
42184,-1.9725730419158936,294
42432,-3.0603456497192383,401
42432,-3.0603456497192383,401
42816,1.8426005840301514,48
42816,1.8426005840301514,48
44232,-3.4504356384277344,401
44232,-3.4504356384277344,401
45376,-3.354567527770996,401
45376,-3.354567527770996,401
45392,-3.3239669799804688,401
45392,-3.3239669799804688,401
45896,-0.534920334815979,65
45896,-0.534920334815979,65
46024,-2.6196277141571045,401
46024,-2.6196277141571045,401
47440,-3.501978635787964,401
47440,-3.501978635787964,401
47760,-0.7531268000602722,217
47760,-0.7531268000602722,217
48600,-3.4410974979400635,401
48600,-3.4410974979400635,401
49104,-3.6887271404266357,401
49104,-3.6887271404266357,401
50648,-3.364131450653076,401
50648,-3.364131450653076,401
50968,-3.7317233085632324,401
50968,-3.7317233085632324,401
51808,-3.1226248741149902,401
51808,-3.1226248741149902,401
52312,-2.790144681930542,401
52312,-2.790144681930542,401
53856,-2.4073069095611572,401
53856,-2.4073069095611572,401
54176,-3.1704962253570557,401
54176,-3.1704962253570557,401
54416,-1.5588557720184326,70
54416,-1.5588557720184326,70
55016,-3.226958990097046,401
55016,-3.226958990097046,401
55520,-3.4195704460144043,401
55520,-3.4195704460144043,401
57144,-1.1741098165512085,266
57144,-1.1741098165512085,266
57384,-2.5767464637756348,401
57384,-2.5767464637756348,401
57624,-2.876485824584961,401
57624,-2.876485824584961,401
58728,-3.077660083770752,401
58728,-3.077660083770752,401
60352,-3.0961222648620605,401
60352,-3.0961222648620605,401
60504,-1.9500954151153564,390
60504,-1.9500954151153564,390
60832,-2.5842370986938477,401
60832,-2.5842370986938477,401
61936,-2.8678946495056152,401
61936,-2.8678946495056152,401
63560,-2.752802848815918,401
63560,-2.752802848815918,401
63712,-2.738715887069702,401
63712,-2.738715887069702,401
64040,-2.200340747833252,401
64040,-2.200340747833252,401
65144,-2.711981773376465,401
65144,-2.711981773376465,401
66768,-2.7115402221679688,401
66768,-2.7115402221679688,401
66920,-2.824583053588867,401
66920,-2.824583053588867,401
67192,1.7812724113464355,34
67192,1.7812724113464355,34
67248,-3.234999179840088,401
67248,-3.234999179840088,401
67752,-0.2282465100288391,326
67752,-0.2282465100288391,326
67768,-0.344448983669281,65
67768,-0.344448983669281,65
69416,1.1514666080474854,331
69416,1.1514666080474854,331
69656,1.965877890586853,30
69656,1.965877890586853,30
70400,-1.77547025680542,401
70400,-1.77547025680542,401
70808,0.580946683883667,380
70808,0.580946683883667,380
70960,-2.7027928829193115,401
70960,-2.7027928829193115,401
72456,-0.7470672726631165,350
72456,-0.7470672726631165,350
72544,-1.229013442993164,217
72544,-1.229013442993164,217
73440,-0.7470903396606445,310
73440,-0.7470903396606445,310
73552,1.1596639156341553,14
73552,1.1596639156341553,14
73608,-2.8701624870300293,401
73608,-2.8701624870300293,401
74168,-0.865361213684082,77
74168,-0.865361213684082,77
75216,-1.8121188879013062,345
75216,-1.8121188879013062,345
75752,-3.7723376750946045,401
75752,-3.7723376750946045,401
76816,-2.7063217163085938,401
76816,-2.7063217163085938,401
77376,-1.9536875486373901,401
77376,-1.9536875486373901,401
78424,-2.2421634197235107,401
78424,-2.2421634197235107,401
78960,-2.4480173587799072,401
78960,-2.4480173587799072,401
80024,-2.9558849334716797,401
80024,-2.9558849334716797,401
80584,-2.5516443252563477,401
80584,-2.5516443252563477,401
81632,-2.7643232345581055,401
81632,-2.7643232345581055,401
81800,0.04476428031921387,222
81800,0.04476428031921387,222
82168,-2.41278338432312,401
82168,-2.41278338432312,401
82408,2.133601427078247,30
82408,2.133601427078247,30
83784,-0.04253125190734863,400
83784,-0.04253125190734863,400
84464,-0.8162862062454224,333
84464,-0.8162862062454224,333
84688,-0.31432682275772095,113
84688,-0.31432682275772095,113
84768,0.14339029788970947,295
84768,0.14339029788970947,295
84840,-3.9716551303863525,401
84840,-3.9716551303863525,401
84928,1.6474566459655762,20
84928,1.6474566459655762,20
85792,-0.5163145065307617,108
85792,-0.5163145065307617,108
87312,-0.8707550168037415,309
87312,-0.8707550168037415,309
87560,1.7628676891326904,359
87560,1.7628676891326904,359
87672,-2.230478286743164,401
87672,-2.230478286743164,401
88232,0.19668424129486084,70
88232,0.19668424129486084,70
88232,-1.1142393350601196,305
88232,-1.1142393350601196,305
88712,-0.37242740392684937,144
88712,-0.37242740392684937,144
89344,-0.8760559558868408,139
89344,-0.8760559558868408,139
90520,-2.175448417663574,401
90520,-2.175448417663574,401
90968,0.41323232650756836,203
90968,0.41323232650756836,203
91440,-2.4954771995544434,401
91440,-2.4954771995544434,401
91920,-2.4053149223327637,401
91920,-2.4053149223327637,401
92592,1.9790420532226562,203
92592,1.9790420532226562,203
92768,-0.0357326865196228,106
92768,-0.0357326865196228,106
93728,-2.372636556625366,401
93728,-2.372636556625366,401
93840,-0.240090012550354,134
93840,-0.240090012550354,134
94648,-1.7833523750305176,401
94648,-1.7833523750305176,401
95008,-0.9075972437858582,45
95008,-0.9075972437858582,45
95360,-1.237464189529419,346
95360,-1.237464189529419,346
96336,-0.6567975282669067,312
96336,-0.6567975282669067,312
96936,-2.204785108566284,401
96936,-2.204785108566284,401
98024,-0.44259583950042725,333
98024,-0.44259583950042725,333
98216,-1.6719731092453003,401
98216,-1.6719731092453003,401
99152,1.8028769493103027,352
99152,1.8028769493103027,352
99840,0.33556175231933594,227
99840,0.33556175231933594,227
100008,-0.70405113697052,224
100008,-0.70405113697052,224
100144,-1.6701686382293701,401
100144,-1.6701686382293701,401
100296,-1.3013755083084106,36
100296,-1.3013755083084106,36
100816,0.10414576530456543,208
100816,0.10414576530456543,208
101096,-0.22704476118087769,157
101096,-0.22704476118087769,157
101536,2.4424095153808594,90
101536,2.4424095153808594,90
101832,-0.5865160226821899,192
101832,-0.5865160226821899,192
101920,-0.592519998550415,222
101920,-0.592519998550415,222
102264,-0.011165857315063477,146
102264,-0.011165857315063477,146
102856,-0.345897912979126,74
102856,-0.345897912979126,74
103048,-0.4817654490470886,152
103048,-0.4817654490470886,152
103592,-0.49563395977020264,257
103592,-0.49563395977020264,257
104160,-0.5238097906112671,280
104160,-0.5238097906112671,280
104368,1.6678812503814697,26
104368,1.6678812503814697,26
104432,1.893655776977539,197
104432,1.893655776977539,197
104752,-2.0836496353149414,40
104752,-2.0836496353149414,40
106240,-0.49718934297561646,331
106240,-0.49718934297561646,331
106256,-1.8200774192810059,401
106256,-1.8200774192810059,401
106360,0.07761549949645996,249
106360,0.07761549949645996,249
107736,-0.07937049865722656,185
107736,-0.07937049865722656,185
107760,-1.1773172616958618,376
107760,-1.1773172616958618,376
107768,0.3636660575866699,176
107768,0.3636660575866699,176
108472,-0.00010150671005249023,279
108472,-0.00010150671005249023,279
109096,0.38911759853363037,166
109096,0.38911759853363037,166
109552,0.40227293968200684,135
109552,0.40227293968200684,135
109968,-0.2595100402832031,279
109968,-0.2595100402832031,279
110432,0.6751087307929993,334
110432,0.6751087307929993,334
111056,-0.5959327220916748,245
111056,-0.5959327220916748,245
111320,0.2540116310119629,221
111320,0.2540116310119629,221
111456,-0.17103350162506104,186
111456,-0.17103350162506104,186
112080,1.0517117977142334,128
112080,1.0517117977142334,128
112816,-0.46994197368621826,92
112816,-0.46994197368621826,92
113056,-0.4966307282447815,328
113056,-0.4966307282447815,328
113528,-0.22222882509231567,276
113528,-0.22222882509231567,276
113824,2.826174020767212,96
113824,2.826174020767212,96
113832,1.6756930351257324,38
113832,1.6756930351257324,38
114120,0.14089882373809814,37
114120,0.14089882373809814,37
114664,-1.7935090065002441,401
114664,-1.7935090065002441,401
114992,0.33779382705688477,109
114992,0.33779382705688477,109
115368,-1.3593965768814087,319
115368,-1.3593965768814087,319
115512,0.19656407833099365,210
115512,0.19656407833099365,210
115608,-1.0921870470046997,30
115608,-1.0921870470046997,30
115856,0.30808842182159424,149
115856,0.30808842182159424,149
117160,0.36927330493927,206
117160,0.36927330493927,206
117512,0.0652318000793457,207
117512,0.0652318000793457,207
117752,-0.24734580516815186,74
117752,-0.24734580516815186,74
118200,-3.22998046875,401
118200,-3.22998046875,401
118224,-1.3293191194534302,327
118224,-1.3293191194534302,327
118288,0.0006055831909179688,97
118288,0.0006055831909179688,97
119024,0.10221982002258301,159
119024,0.10221982002258301,159
119368,2.8755786418914795,143
119368,2.8755786418914795,143
119392,-0.005212306976318359,138
119392,-0.005212306976318359,138
119680,0.2241147756576538,185
119680,0.2241147756576538,185
119752,-0.9925832748413086,48
119752,-0.9925832748413086,48
120176,0.2953503131866455,144
120176,0.2953503131866455,144
120368,0.3323177099227905,77
120368,0.3323177099227905,77
120784,2.1965413093566895,52
120784,2.1965413093566895,52
120784,0.4135054349899292,174
120784,0.4135054349899292,174
120912,0.5441524982452393,154
120912,0.5441524982452393,154
121768,2.254403591156006,199
121768,2.254403591156006,199
121848,0.1093592643737793,133
121848,0.1093592643737793,133
122040,-0.08749192953109741,141
122040,-0.08749192953109741,141
122160,0.24364006519317627,172
122160,0.24364006519317627,172
123192,-0.45569908618927,178
123192,-0.45569908618927,178
123472,0.35566866397857666,179
123472,0.35566866397857666,179
123488,3.247718572616577,205
123488,3.247718572616577,205
125048,1.8841497898101807,197
125048,1.8841497898101807,197
125088,2.374152183532715,237
125088,2.374152183532715,237
125368,-2.4326164722442627,401
125368,-2.4326164722442627,401
125504,1.3148672580718994,17
125504,1.3148672580718994,17
125672,0.1878114938735962,73
125672,0.1878114938735962,73
126128,0.12875735759735107,57
126128,0.12875735759735107,57
126328,1.6084704399108887,25
126328,1.6084704399108887,25
126696,-1.6777318716049194,401
126696,-1.6777318716049194,401
126816,-1.6096867322921753,15
126816,-1.6096867322921753,15
126928,-0.63099604845047,235
126928,-0.63099604845047,235
127464,0.12472867965698242,67
127464,0.12472867965698242,67
127544,-0.060801029205322266,255
127544,-0.060801029205322266,255
127832,2.0899226665496826,46
127832,2.0899226665496826,46
128088,-0.27292317152023315,220
128088,-0.27292317152023315,220
128120,0.0714341402053833,72
128120,0.0714341402053833,72
128320,2.915884017944336,61
128320,2.915884017944336,61
128840,-1.0312018394470215,253
128840,-1.0312018394470215,253
129320,0.17605829238891602,154
129320,0.17605829238891602,154
129848,-0.4088456630706787,216
129848,-0.4088456630706787,216
129976,-0.06346189975738525,82
129976,-0.06346189975738525,82
130008,1.0542774200439453,211
130008,1.0542774200439453,211
130808,-1.0551083087921143,246
130808,-1.0551083087921143,246
131288,0.2603273391723633,180
131288,0.2603273391723633,180
131424,0.3440760374069214,177
131424,0.3440760374069214,177
131624,0.3168576955795288,206
131624,0.3168576955795288,206
131688,-0.06752568483352661,110
131688,-0.06752568483352661,110
132616,0.17341876029968262,116
132616,0.17341876029968262,116
132656,0.5346540212631226,154
132656,0.5346540212631226,154
132672,0.2839299440383911,173
132672,0.2839299440383911,173
132792,1.7054111957550049,146
132792,1.7054111957550049,146
133600,0.5038844347000122,123
133600,0.5038844347000122,123
134088,1.0459246635437012,162
134088,1.0459246635437012,162
134112,2.9274582862854004,180
134112,2.9274582862854004,180
134472,0.5244227647781372,227
134472,0.5244227647781372,227
134728,2.045168876647949,32
134728,2.045168876647949,32
134736,-1.1253328323364258,81
134736,-1.1253328323364258,81
134960,2.844808340072632,170
134960,2.844808340072632,170
135512,1.2229042053222656,97
135512,1.2229042053222656,97
136232,0.42196643352508545,188
136232,0.42196643352508545,188
136520,1.8314311504364014,301
136520,1.8314311504364014,301
136664,1.6543629169464111,213
136664,1.6543629169464111,213
137016,1.972362995147705,44
137016,1.972362995147705,44
137648,0.5799390077590942,141
137648,0.5799390077590942,141
138024,-0.9325379133224487,314
138024,-0.9325379133224487,314
138232,0.5521756410598755,152
138232,0.5521756410598755,152
138576,-0.5692980289459229,69
138576,-0.5692980289459229,69
138840,-1.171137809753418,149
138840,-1.171137809753418,149
138904,1.9829518795013428,84
138904,1.9829518795013428,84
139256,-1.3783247470855713,378
139256,-1.3783247470855713,378
139696,2.7030396461486816,55
139696,2.7030396461486816,55
139984,0.35814380645751953,176
139984,0.35814380645751953,176
140392,0.6868656873703003,186
140392,0.6868656873703003,186
140736,-0.014879226684570312,130
140736,-0.014879226684570312,130
141176,-0.34374159574508667,292
141176,-0.34374159574508667,292
141680,0.27325236797332764,212
141680,0.27325236797332764,212
141704,0.05688977241516113,164
141704,0.05688977241516113,164
141896,-0.5804544687271118,24
141896,-0.5804544687271118,24
142072,1.0725598335266113,167
142072,1.0725598335266113,167
142472,-1.466179370880127,99
142472,-1.466179370880127,99
142552,3.140733242034912,60
142552,3.140733242034912,60
143192,-0.3081898093223572,252
143192,-0.3081898093223572,252
143344,0.9185795783996582,181
143344,0.9185795783996582,181
143432,0.44250547885894775,120
143432,0.44250547885894775,120
144128,0.2404775619506836,197
144128,0.2404775619506836,197
144336,0.15567755699157715,124
144336,0.15567755699157715,124
144616,0.7645537853240967,178
144616,0.7645537853240967,178
144744,1.1479358673095703,164
144744,1.1479358673095703,164
144904,0.1426326036453247,36
144904,0.1426326036453247,36
145408,0.5032663345336914,134
145408,0.5032663345336914,134
145696,2.0432381629943848,196
145696,2.0432381629943848,196
146160,2.7314019203186035,157
146160,2.7314019203186035,157
147112,0.08302748203277588,119
147112,0.08302748203277588,119
147184,0.27194321155548096,186
147184,0.27194321155548096,186
147456,2.031078815460205,43
147456,2.031078815460205,43
147952,-3.3601999282836914,401
147952,-3.3601999282836914,401
148616,-3.008821964263916,401
148616,-3.008821964263916,401
148784,0.7169029712677002,200
