time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/learning_rate
1,16384,4112,3,334.9130434782609,-2.7332441806793213,,,,,,,,,,
2,32768,1869,17,351.0217391304348,-2.7944839000701904,0.30973178148269653,-0.010736998170614243,0.04741556858771219,10,-0.0029020890044648695,-1.3808491499163211,0.05201416015625,0.2,0.007080585,0.0003
3,49152,1582,31,352.26,-2.6987051963806152,0.32810574769973755,0.005087835714221001,0.04068759518486331,20,-0.004416632919492259,-1.3651600478217005,0.081005859375,0.2,0.009000018,0.0003
4,65536,1456,44,356.6,-2.6300840377807617,0.37192732095718384,-0.008867687545716763,0.03930385336461768,30,-0.003467190342780668,-1.369327340926975,0.08145751953125,0.2,0.008065948,0.0003
5,81920,1398,58,341.22,-2.026642084121704,0.4378114938735962,-0.02223602682352066,0.025778422378607502,40,-0.004545469487220543,-1.352538268174976,0.1078369140625,0.2,0.009695139,0.0003
6,98304,1362,72,292.86,-1.1249785423278809,0.4653502106666565,0.04449416697025299,0.03480464417425537,50,-0.006252081375532725,-1.3406130785588175,0.122357177734375,0.2,0.009649882,0.0003
7,114688,1333,85,222.4,-0.24113327264785767,0.43724411725997925,0.007259152829647064,0.038915831762096786,60,-0.007908169523034303,-1.3150919663254172,0.14908447265625,0.2,0.011239014,0.0003
8,131072,1317,99,163.02,0.2072010487318039,0.5654132962226868,-0.006990306079387665,0.03537771895262267,70,-0.0060447308751463424,-1.2703031351789833,0.139154052734375,0.2,0.010305539,0.0003
9,147456,1302,113,153.24,0.6986848711967468,0.4580997824668884,0.06215609237551689,0.05702399800065905,80,-0.0046493763088164995,-1.2366339664440602,0.114678955078125,0.2,0.010077638,0.0003
10,163840,1291,126,135.12,0.7577388882637024,0.5585094690322876,0.024612881243228912,0.056709447322646156,90,-0.004727605740572472,-1.1937892477493732,0.108453369140625,0.2,0.00987872,0.0003
11,180224,1281,140,100.32,0.8811221122741699,0.507949948310852,0.0013982374221086502,0.07483196702596615,100,-0.0036054026740657717,-1.153995766909793,0.10059814453125,0.2,0.010277038,0.0003
12,196608,1275,154,109.36,0.7834796905517578,0.5402138829231262,0.06045496091246605,0.07153027599488268,110,-0.0013267076263218768,-1.10265834457241,0.075140380859375,0.2,0.007314836,0.0003
13,212992,1267,168,113.56,1.163771629333496,0.6163123250007629,-0.005610011518001556,0.06695881780251511,120,-0.003698363409830563,-1.086570539046079,0.094488525390625,0.2,0.0073909825,0.0003
14,229376,1254,182,98.64,0.8883784413337708,0.569879412651062,0.029170505702495575,0.08929981218680041,130,-0.0018396135392322321,-1.045950901741162,0.078228759765625,0.2,0.0071652443,0.0003
15,245760,1251,196,92.24,0.7098228335380554,0.5948219895362854,0.04661164432764053,0.09275912806770066,140,-0.0019270482908723351,-1.0097081476822496,0.062823486328125,0.2,0.006191279,0.0003
16,262144,1247,210,91.58,0.9081524610519409,0.644790768623352,0.026233870536088943,0.1020244997831469,150,-0.0005192640059249243,-0.9766929391771555,0.05667724609375,0.2,0.005348552,0.0003
17,278528,1242,224,83.3,0.8374137878417969,0.6574571132659912,0.05619003251194954,0.09426176763663534,160,-0.00022292991948233976,-0.9693598148878664,0.057275390625,0.2,0.004610042,0.0003
18,294912,1224,240,94.26,0.9289000034332275,0.6290684938430786,0.0497221015393734,0.10387868027173681,170,-0.0009603686377886334,-0.9377180381445214,0.0642578125,0.2,0.006484854,0.0003
19,311296,1219,255,88.22,1.0715171098709106,0.6669923663139343,0.05209236219525337,0.09927726617461304,180,-0.000744335436320398,-0.9563651949400083,0.0599853515625,0.2,0.005535612,0.0003
20,327680,1216,269,97.7,1.0692553520202637,0.6352810859680176,0.026653850451111794,0.08621065184197504,190,-0.0005523522025214333,-0.9413240535883233,0.054962158203125,0.2,0.0055923215,0.0003
21,344064,1214,283,87.7,0.6589747071266174,0.6594104170799255,0.034613609313964844,0.09624914281230304,200,-0.0005001258028642042,-0.9173399007413536,0.0580810546875,0.2,0.005697648,0.0003
22,360448,1213,297,77.82,0.9265925884246826,0.6215665340423584,0.019238390028476715,0.10341281272194465,210,-0.0014845062517451879,-0.8962898385478184,0.07371826171875,0.2,0.0061637755,0.0003
23,376832,1212,310,94.92,0.7524435520172119,0.5906522274017334,0.10670192539691925,0.11389471404982032,220,-0.000976708655980474,-0.8927754116244614,0.065533447265625,0.2,0.005888382,0.0003
24,393216,1211,324,74.58,0.8776748180389404,0.657983660697937,0.07919764518737793,0.10461417324113427,230,-0.0018077772786909917,-0.9295875555137172,0.08223876953125,0.2,0.0065188133,0.0003
25,409600,1210,338,83.5,0.9558303952217102,0.6591005325317383,0.07327449321746826,0.1256872439349536,240,-0.0007212139422335895,-0.868556987773627,0.062640380859375,0.2,0.0054698945,0.0003
