timesteps,ep_return,ep_length
1076,-1.7708617448806763,269
1604,-3.2717506885528564,401
1604,-3.4879355430603027,401
1604,-2.450216770172119,401
2680,-2.9094417095184326,401
3128,-2.2774734497070312,381
3208,-3.4386544227600098,401
3208,-3.381696939468384,401
3408,-1.2499336004257202,50
4284,-3.3117871284484863,401
4732,-3.155521869659424,401
4812,-3.036588191986084,401
5012,-3.198760986328125,401
5812,-1.1183900833129883,200
5888,-3.3935675621032715,401
6052,-1.3860220909118652,330
6416,-3.224874973297119,401
7416,-3.570220708847046,401
7492,-2.9690070152282715,401
7656,-3.3990578651428223,401
8020,-3.52254056930542,401
8120,-1.1414384841918945,116
8416,-1.6656416654586792,74
9020,-3.3501362800598145,401
9096,-2.97332763671875,401
9204,2.0213441848754883,46
9540,-0.8408181667327881,111
9624,-3.233851909637451,401
10020,-2.8314075469970703,401
10460,-1.2926418781280518,110
10808,-3.578381061553955,401
10920,-1.113035798072815,115
11144,-3.220498561859131,401
11228,-3.156564235687256,401
12096,-1.1144626140594482,322
12116,-1.3193565607070923,222
12524,-3.288148880004883,401
12748,-2.9168663024902344,401
13700,-2.9661004543304443,401
13720,-3.225398063659668,401
13760,-0.9462471008300781,309
14352,-2.588310718536377,401
14940,-1.5564641952514648,310
15324,-2.912041187286377,401
15364,-2.921173572540283,401
15956,-3.0097382068634033,401
16544,-2.7819173336029053,401
16928,-2.3922152519226074,401
16968,-2.753711223602295,401
17356,-0.5945342779159546,107
17560,-2.749652862548828,401
17944,-0.8664908409118652,244
17964,-0.6217341423034668,101
18148,-4.004268169403076,401
18900,-0.6993833780288696,234
18960,-3.091092348098755,401
19108,-0.5032577514648438,240
19204,-0.7075297832489014,76
19424,-0.04288607835769653,55
19540,-2.9552297592163086,399
20564,-3.1959705352783203,401
20712,-2.8212227821350098,401
21028,-3.3439862728118896,401
21032,-1.524413824081421,373
21116,-0.7967119812965393,101
21180,-0.21340280771255493,154
21444,-1.099866271018982,104
21596,-0.6827750205993652,104
21744,-0.8779554963111877,157
22076,-0.7421337366104126,261
22256,-0.5992172360420227,128
22460,-0.39339977502822876,216
22872,-0.8724777102470398,154
23048,-1.950156807899475,401
23188,-0.9258973598480225,278
23472,-0.7583948373794556,253
23648,-0.6271653175354004,115
24268,-1.4577174186706543,349
24532,-0.3555351495742798,66
24584,-1.3800952434539795,234
24652,-4.755453586578369,401
24900,-0.43374449014663696,79
25076,-2.701366424560547,401
25300,-0.16737091541290283,162
25340,-0.4619324207305908,202
25444,-0.40495747327804565,136
25660,-0.2021382451057434,90
25712,0.3355458974838257,67
25780,-0.15361905097961426,176
26052,-0.2899830937385559,178
26128,-0.27665281295776367,19
26176,-2.3595733642578125,99
26272,-0.27222907543182373,36
26276,-0.640768826007843,154
26332,-0.2297917604446411,155
26424,-0.10534656047821045,62
26892,-0.704755425453186,117
27156,-0.38615667819976807,206
27412,-0.39604467153549194,130
27632,-0.44000130891799927,119
27772,-0.3783583641052246,375
27788,-0.4329512119293213,94
27880,-2.3017191886901855,401
27988,-0.40277403593063354,89
28244,-0.4202736020088196,118
28268,-0.23107266426086426,120
28336,-0.36031901836395264,114
28516,-1.1164369583129883,45
28668,-0.5763083696365356,170
28804,0.0756305456161499,140
28852,-0.5209749937057495,146
28956,-0.16454529762268066,110
29108,-0.5624749660491943,64
29240,-0.18816125392913818,71
29304,-0.6049770712852478,159
29340,0.2334812879562378,134
29464,-0.018922150135040283,89
29544,-0.8709255456924438,76
29712,-0.5338242650032043,62
29800,-0.5738837718963623,124
30256,-0.6375843286514282,229
30272,-0.34903091192245483,140
30392,-0.24344056844711304,212
30428,-0.5610268115997314,39
30780,-0.5522483587265015,97
31108,-0.1845693588256836,170
31160,-1.7209492921829224,340
31260,-1.1821852922439575,38
31372,-0.6547394394874573,148
31636,0.17254161834716797,66
31704,-0.546570897102356,17
31860,-4.07059383392334,401
32088,-0.6502072811126709,96
32100,-0.5874598026275635,60
32432,-0.26326459646224976,83
32520,-0.5345620512962341,108
32764,-3.045182943344116,401
32836,-0.4994516372680664,79
32864,-5.790505409240723,401
33052,0.12889862060546875,72
33060,0.10660064220428467,49
33064,-0.7271148562431335,57
33096,-0.3959932327270508,166
33352,0.037976741790771484,72
33400,0.3616759777069092,76
33432,-0.22666633129119873,93
33688,0.47658252716064453,159
33768,0.47836339473724365,84
33972,1.4139121770858765,155
34012,0.4200252294540405,153
34096,-0.710292398929596,82
34376,-0.47385478019714355,172
34416,-0.17960995435714722,80
34424,-0.3878641724586487,103
34464,-0.30752384662628174,123
34564,0.14316344261169434,47
34572,-0.6333097219467163,37
34688,-0.3846583366394043,68
34840,-0.4782636761665344,69
34852,-0.09074831008911133,41
34880,-0.4057592749595642,77
34968,0.3451799154281616,126
35152,-0.015199661254882812,68
35180,-0.04033619165420532,82
35260,-0.3272053003311157,105
35460,2.6651487350463867,123
35476,-0.8653813004493713,81
35488,-0.3023971915245056,57
35612,-0.6698184013366699,38
35652,-0.06363815069198608,118
35712,2.485276222229004,56
35984,-0.2804122567176819,83
36100,-0.18056011199951172,122
36128,-0.25167596340179443,163
36236,-0.6582692861557007,63
36320,-0.7201781272888184,21
36380,0.30005931854248047,70
36432,-0.2631223797798157,76
36552,-1.012846827507019,210
36736,0.31125402450561523,76
36748,0.32547736167907715,107
36940,-0.16636204719543457,140
36996,-0.8883820176124573,14
37028,-0.24340105056762695,119
37120,-0.4425000548362732,93
37148,-0.5825721025466919,38
37284,-0.1331268548965454,34
37400,-0.6264625787734985,29
37640,-0.0012643933296203613,130
37644,-0.5217947363853455,61
37656,0.15560567378997803,157
37988,2.40690279006958,83
38016,0.04035186767578125,94
38072,0.33797454833984375,107
38244,0.13921427726745605,57
38340,-3.8975486755371094,401
38392,-0.08683192729949951,80
38516,-0.7957943081855774,44
38608,0.0006570816040039062,91
38884,-0.08394801616668701,123
38920,-0.36733144521713257,78
